,pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_spectype_short,pl_tsurf_c,pl_hz_status,pl_type,P_HABITABLE,hz_zone_inner,hz_zone_outer,pl_system_class
2797,Kepler-223 d,Kepler-223,14.78869,0.11956,5.24,8.0,0.037,175.95,827.0,nan,5803.0,1.72,1.12,0.1,4.46,,821.7358593510481,Too Hot,Neptune-Like,0.0,1.0293349240128953,1.9209726884294047,NeptuneLike-GasGiant-Only
2798,Kepler-223 e,Kepler-223,19.72567,0.14481,4.6,4.8,0.051,119.88,751.0,nan,5803.0,1.72,1.12,0.1,4.46,,721.7112680276202,Too Hot,Neptune-Like,0.0,1.0293349240128953,1.9209726884294047,NeptuneLike-GasGiant-Only
2799,Kepler-224 b,Kepler-224,3.132924,0.038,1.39,2.51,0.0,201.49,937.0,nan,5018.0,0.68,0.78,-0.06,4.64,,782.7877614871362,Too Hot,Super-Earth,0.0,0.3042939702809685,0.5678816413657081,Mixed-Members
2800,Kepler-224 c,Kepler-224,5.925003,0.058,3.12,9.91,0.0,86.33,758.0,nan,5018.0,0.68,0.78,-0.06,4.64,,581.5547598047671,Too Hot,Neptune-Like,0.0,0.3042939702809685,0.5678816413657081,Mixed-Members
2801,Kepler-224 d,Kepler-224,11.349393,0.089,2.3,5.9,0.0,36.29,610.0,nan,5018.0,0.68,0.78,-0.06,4.64,,416.8277975023368,Too Hot,Neptune-Like,0.0,0.3042939702809685,0.5678816413657081,Mixed-Members
2802,Kepler-224 e,Kepler-224,18.643577,0.124,1.97,4.54,0.0,18.73,517.0,nan,5018.0,0.68,0.78,-0.06,4.64,,311.3967856569326,Too Hot,Super-Earth,0.0,0.3042939702809685,0.5678816413657081,Mixed-Members
2803,Kepler-225 b,Kepler-225,6.738975,0.056,1.2,1.87,0.0,38.88,579.0,M1 V,3682.0,0.48,0.59,-0.04,4.78,M,263.08529436562173,Too Hot,Super-Earth,0.0,0.11564634880747472,0.21582234547106094,Terrestrial-SuperEarth-Only
2804,Kepler-225 c,Kepler-225,18.794234,0.111,1.84,4.04,0.0,9.9,412.0,M1 V,3682.0,0.48,0.59,-0.04,4.78,M,107.72978160230485,Too Hot,Super-Earth,0.0,0.11564634880747472,0.21582234547106094,Terrestrial-SuperEarth-Only
2805,Kepler-226 b,Kepler-226,3.940997,0.047,1.55,24.0,0.0,270.4,1018.0,nan,5571.0,0.8,0.9,0.09,4.59,,870.1869232950208,Too Hot,Super-Earth,0.0,0.4412446207972878,0.823462651168494,Terrestrial-SuperEarth-Only
2806,Kepler-226 c,Kepler-226,5.349555,0.058,2.27,45.2,0.0,180.51,919.0,nan,5571.0,0.8,0.9,0.09,4.59,,756.0722377214232,Too Hot,Super-Earth,0.0,0.4412446207972878,0.823462651168494,Terrestrial-SuperEarth-Only
2807,Kepler-226 d,Kepler-226,8.109044,0.076,1.22,1.98,0.0,103.65,800.0,nan,5571.0,0.8,0.9,0.09,4.59,,625.9673160381786,Too Hot,Super-Earth,0.0,0.4412446207972878,0.823462651168494,Terrestrial-SuperEarth-Only
2808,Kepler-227 b,Kepler-227,9.488015,0.09,3.11,9.85,0.0,104.64,793.0,nan,5854.0,1.09,0.95,0.1,4.4,,740.2705773484684,Too Hot,Neptune-Like,0.0,0.6638272164090069,1.2388523140616208,NeptuneLike-GasGiant-Only
2809,Kepler-227 c,Kepler-227,54.418694,0.29,3.04,9.48,0.0,10.19,443.0,nan,5854.0,1.09,0.95,0.1,4.4,,291.4124304789209,Too Hot,Neptune-Like,0.0,0.6638272164090069,1.2388523140616208,NeptuneLike-GasGiant-Only
2810,Kepler-228 b,Kepler-228,2.566546,0.038,1.53,2.96,0.0,863.78,1360.0,nan,6043.0,1.01,1.01,0.18,4.47,,1276.6172848136025,Too Hot,Super-Earth,0.0,0.6554652653136798,1.223247014657727,Mixed-Members
