,pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_spectype_short,pl_tsurf_c,pl_hz_status,pl_type,P_HABITABLE,hz_zone_inner,hz_zone_outer,pl_system_class
0,11 UMi b,11 UMi,516.21997,1.53,12.3,4684.8142,0.08,,,K4 III,4213.0,29.79,2.78,-0.02,1.93,K,651.6035374735211,Too Hot,,0.0,9.396725526267465,17.536423447341505,
1,14 And b,14 And,186.76,0.775,13.1,1131.1513,0.0,,,K0 III,4888.0,11.55,1.78,-0.21,2.55,K,665.5273618348484,Too Hot,,0.0,4.9041923860886065,9.152336535665457,
2,14 Her b,14 Her,1765.0389,2.774,12.6,2559.47216,0.373,,,K0 V,5338.0,0.93,0.91,0.405,4.45,K,-119.40116937047006,Too Cold,,0.0,0.47093742789541915,0.878876171246045,NeptuneLike-GasGiant-Only
3,17 Sco b,17 Sco,578.38,1.45,12.9,1373.01872,0.06,,,K3 III,4157.0,25.92,1.22,-0.01,1.7,K,601.1460735161211,Too Hot,,0.0,7.960093449109937,14.855341790476782,
4,1RXS J160929.1-210524 b,1RXS J160929.1-210524,,330.0,18.647,3000.0,,,1700.0,K7 V,4060.0,1.31,0.85,,4.0,K,-260.4252365564313,Too Cold,Gas-Giant,0.0,0.383748316155247,0.7161614916271576,NeptuneLike-GasGiant-Only
5,24 Boo b,24 Boo,30.33,0.194,13.9,280.64248,0.032,,,G3 IV,4816.0,12.19,1.05,-0.78,2.28,G,1625.8828269251621,Too Hot,,0.0,5.024580194672571,9.377007521672693,
6,24 Sex b,24 Sex,452.8,1.333,13.4,632.46,0.09,,,K0 IV,5098.0,4.9,1.54,-0.03,3.5,K,213.06438366641817,Too Hot,,0.0,2.263178779475015,4.223605478628483,
7,24 Sex c,24 Sex,883.0,2.08,13.9,273.32,0.29,,,K0 IV,5098.0,4.9,1.54,-0.03,3.5,K,116.08439462599893,Too Hot,,0.0,2.263178779475015,4.223605478628483,
8,2M0437 b,2MASS J04372171+2651014,,118.0,13.0,1271.31363,,,1450.0,M V,3100.0,0.84,0.17,0.01,4.5,M,-260.13915991016563,Too Cold,Gas-Giant,0.0,0.14345833755520018,0.26772583144917517,NeptuneLike-GasGiant-Only
9,2MASS J01225093-2439505 b,2MASS J01225093-2439505,,52.0,11.209,7786.5,,,1600.0,M3.5 V,3530.0,0.37,0.4,,4.86,M,-258.3378227095384,Too Cold,Gas-Giant,0.0,0.08193590498778429,0.15291100302869778,NeptuneLike-GasGiant-Only
10,2MASS J02192210-3925225 b,2MASS J02192210-3925225,,156.0,16.141,4417.837,,,,M6,3064.0,0.28,0.11,,4.59,M,-266.69270714206226,Too Cold,Gas-Giant,0.0,0.04671524956533558,0.08718126282777232,NeptuneLike-GasGiant-Only
11,2MASS J03590986+2009361 b,2MASS J03590986+2009361,,572.0,12.2,5720.91133,,,2369.0,nan,2943.0,0.29,0.26,,4.94,,-269.8536277258014,Too Cold,Gas-Giant,,0.04463768284284421,0.08330405159244682,NeptuneLike-GasGiant-Only
12,2MASS J04414489+2301513 b,2MASS J04414489+2301513,,15.0,12.6,2383.6,,,,M8.5,2936.0,0.23,0.02,,5.01,M,-255.06496532839674,Too Cold,Gas-Giant,0.0,0.035234089935710956,0.06575481205310603,NeptuneLike-GasGiant-Only
13,2MASS J11550485-7919108 b,2MASS J11550485-7919108,,587.0,12.1,6356.56814,,,2506.0,nan,3021.0,0.6,0.59,,4.65,,-268.34545455281926,Too Cold,Gas-Giant,,0.09731411131675478,0.18161022780562228,NeptuneLike-GasGiant-Only
14,2MASS J12073346-3932539 b,2MASS J12073346-3932539,,55.0,12.9,1589.15,,,1250.0,M8,2825.0,0.22,0.02,,5.03,M,-264.26221676938854,Too Cold,Gas-Giant,0.0,0.031202019589381513,0.05823005326718153,NeptuneLike-GasGiant-Only
15,2MASS J21252752-8138278 b,2MASS J21252752-8138278,,7493.0,12.4,3813.94088,,,1616.0,nan,3592.0,0.67,0.64,,4.59,,-271.46037289047666,Too Cold,Gas-Giant,,0.1536280714520958,0.28670486403496404,NeptuneLike-GasGiant-Only
16,2MASS J22362452+4751425 b,2MASS J22362452+4751425,,230.0,12.3,3972.875,,,,K7 V,4045.0,0.64,0.6,,4.62,K,-262.5357429501511,Too Cold,Gas-Giant,0.0,0.18609733159202216,0.34729987590840417,NeptuneLike-GasGiant-Only
17,4 UMa b,4 UMa,270.27,0.877,12.6,2511.48007,0.453,,,K1 III,4415.0,18.11,1.23,-0.25,1.8,K,724.8605732418716,Too Hot,,0.0,6.273400095243933,11.70758901249818,
18,47 UMa b,47 UMa,1078.0,2.1,13.2,804.08,0.032,,,G0 V,5872.0,1.21,1.06,0.04,4.3,G,-51.425292484604796,Too Cold,,0.0,0.7414478056036566,1.3837099579871008,
19,47 UMa c,47 UMa,2391.0,3.6,14.2,171.621,0.098,,,G1 V,5872.0,1.21,1.06,0.04,4.3,G,-103.8049573947929,Too Cold,,0.0,0.7414478056036566,1.3837099579871008,
20,47 UMa d,47 UMa,14002.0,11.6,13.5,521.22,0.16,,,G0V,5872.0,1.21,1.06,0.04,4.3,G,-178.8102451344564,Too Cold,,0.0,0.7414478056036566,1.3837099579871008,
21,51 Peg b,51 Peg,4.230785,0.0527,14.3,146.2018,0.013,,,G5V,5758.0,1.18,1.03,0.18,4.31,G,1082.2028163947966,Too Hot,,0.0,0.6952619280378619,1.2975166235093865,
22,6 Lyn b,6 Lyn,919.86,2.028,13.4,597.83523,0.042,,,K0 IV,4941.0,4.94,1.32,-0.17,3.16,K,110.45950456239996,Too Hot,,0.0,2.143284270735544,3.9998551021394615,
23,61 Vir b,61 Vir,4.215,0.050201,2.11,5.1,0.12,,,G5 V,5577.0,0.96,0.94,-0.01,4.34,G,940.0295550740669,Too Hot,,0.0,0.5306346945072008,0.9902848255721317,
24,61 Vir c,61 Vir,38.021,0.2175,4.46,18.2,0.14,,,G5 V,5577.0,0.96,0.94,-0.01,4.34,G,309.69306901379343,Too Hot,,0.0,0.5306346945072008,0.9902848255721317,
25,61 Vir d,61 Vir,123.01,0.476,5.11,22.9,0.35,,,G5 V,5577.0,0.96,0.94,-0.01,4.34,G,120.83327923209043,Too Hot,,0.0,0.5306346945072008,0.9902848255721317,
26,7 CMa b,7 CMa,735.1,1.758,13.4,587.9855,0.06,,,K1 III,4826.0,4.87,1.34,0.21,3.19,K,126.414935328539,Too Hot,,0.0,2.0157038086452426,3.761760991529452,
27,7 CMa c,7 CMa,996.0,2.153,13.9,276.5121,0.08,,,K1III(+M),4826.0,4.87,1.34,0.21,3.19,K,87.90618521471896,In HZ,,0.0,2.0157038086452426,3.761760991529452,
28,70 Vir b,70 Vir,116.688,0.481,12.6,2380.45,0.3988,,,G5V,5495.0,1.89,1.09,-0.09,3.95,G,268.69000503933694,Too Hot,,0.0,1.0141923205109098,1.8927131520234828,
29,8 UMi b,8 UMi,93.4,0.49,13.6,416.3573,0.06,,,K0,4847.0,10.3,1.44,-0.03,2.57,K,832.2987120697557,Too Hot,,0.0,4.300375552008957,8.0254772209548,
30,81 Cet b,81 Cet,1005.57,2.104,13.1,1051.05854,0.037,,,G5 III,4734.0,11.21,1.23,-0.11,2.41,G,270.4171443393957,Too Hot,,0.0,4.46462760121918,8.332008839760972,
31,AB Aur b,AB Aur,,93.9,12.5,2860.45566,0.4,,,nan,9770.0,2.96,2.4,,3.77,,-186.86155769536154,Too Cold,,0.0,5.021158821727787,9.37062246290267,
32,AB Pic b,AB Pic,,260.0,12.3,4290.5,,,,K2 V,5285.0,1.0,0.9,0.04,4.53,K,-256.8456562312382,Too Cold,,0.0,0.4963786611639967,0.926355289197635,
33,AF Lep b,AF Lep,8030.0,8.4,13.1,1017.0509,0.24,,1400.0,F8 V,6130.0,1.25,1.2,0.19,4.4,F,-155.51925597780948,Too Cold,,0.0,0.8347454915015985,1.557824623993873,
34,AU Mic b,AU Mic,8.46308,0.0649,3.957,20.12,0.00577,21.2,600.0,M1,3678.0,0.74,0.51,0.23,4.4,M,344.6533264413871,Too Hot,,0.0,0.17790095914882065,0.33200358386557416,
35,AU Mic c,AU Mic,18.85969,0.1108,2.522,9.6,0.00338,7.3,459.0,M1,3678.0,0.74,0.51,0.23,4.4,M,199.67748154702946,Too Hot,,0.0,0.17790095914882065,0.33200358386557416,
36,BD+03 2562 b,BD+03 2562,481.9,1.3,12.7,2034.112,0.2,,,nan,4095.0,32.35,1.14,-0.71,1.89,,743.0153418326133,Too Hot,Gas-Giant,0.0,9.640625603613977,17.99159637148743,NeptuneLike-GasGiant-Only
37,BD+14 4559 b,BD+14 4559,268.94,0.78,13.8,330.5432,0.29,,,K2 V,4864.0,0.86,0.49,0.17,4.26,K,-19.087541391551866,Too Cold,Gas-Giant,0.0,0.36158358288564296,0.6747970666339388,NeptuneLike-GasGiant-Only
38,BD+15 2375 b,BD+15 2375,153.22,0.576,13.8,337.21763,0.001,,,G5,4649.0,8.95,1.08,-0.22,2.61,G,638.451073866288,Too Hot,Gas-Giant,0.0,3.4376784188249077,6.415488486897097,NeptuneLike-GasGiant-Only
39,BD+15 2940 b,BD+15 2940,137.48,0.539,13.7,352.78,0.26,,,K0,4796.0,14.7,1.1,0.28,2.8,K,972.7651454603719,Too Hot,Gas-Giant,0.0,6.008952951899495,11.214070597794631,NeptuneLike-GasGiant-Only
40,BD+20 2457 b,BD+20 2457,379.63,1.45,12.1,6807.63,0.15,,,K2 II,4137.0,49.0,2.8,-1.0,1.51,K,923.1622938628522,Too Hot,Gas-Giant,0.0,14.903567602036885,27.81344114125822,NeptuneLike-GasGiant-Only
41,BD+20 2457 c,BD+20 2457,621.99,2.01,12.4,3963.17,0.18,,,K2 II,4137.0,49.0,2.8,-1.0,1.51,K,742.9361652675544,Too Hot,Gas-Giant,0.0,14.903567602036885,27.81344114125822,NeptuneLike-GasGiant-Only
42,BD+20 274 b,BD+20 274,578.2,1.3,13.0,1334.886,0.21,,,K5 III,4296.0,17.3,0.8,-0.46,1.99,K,506.4299376176209,Too Hot,Gas-Giant,0.0,5.674110230608834,10.589178050662246,NeptuneLike-GasGiant-Only
43,BD+20 594 b,BD+20 594,41.6855,0.241,2.578,22.2481,0.0,,546.0,G,5766.0,1.08,1.67,-0.15,4.5,G,334.0377491508025,Too Hot,Neptune-Like,0.0,0.6381108830648193,1.190859796904871,NeptuneLike-GasGiant-Only
44,BD+45 564 b,BD+45 564,307.88,0.83,13.6,432.24663,0.12,,,K1,5004.0,0.81,0.81,-0.09,4.22,K,-27.24589978053939,Too Cold,Gas-Giant,0.0,0.36044810029850444,0.672677998304287,NeptuneLike-GasGiant-Only
45,BD+48 738 b,BD+48 738,392.6,1.0,13.9,289.2253,0.2,,,K0 III,4414.0,11.0,0.74,-0.2,2.24,K,455.088570767928,Too Hot,Gas-Giant,0.0,3.808732421706804,7.107959507592398,NeptuneLike-GasGiant-Only
46,BD+48 740 b,BD+48 740,733.0,1.7,13.5,540.311,0.76,,,K3 III,4534.0,10.33,1.09,-0.13,2.48,K,282.82110612410463,Too Hot,Gas-Giant,0.0,3.7738659799260006,7.042890810474336,NeptuneLike-GasGiant-Only
47,BD+49 828 b,BD+49 828,2590.0,4.2,13.5,508.5,0.35,,,K0,4943.0,7.6,1.52,-0.19,2.85,K,57.61364362256603,In HZ,Gas-Giant,0.0,3.3000303438696243,6.158605924734395,NeptuneLike-GasGiant-Only
48,BD+55 362 b,BD+55 362,265.59,0.78,14.0,228.83645,0.27,,,K3,5012.0,0.9,0.91,0.18,4.09,K,-5.338006850859188,Too Cold,Gas-Giant,0.0,0.4017794816471574,0.7498117405815753,NeptuneLike-GasGiant-Only
49,BD+60 1417 b,BD+60 1417,,1662.0,14.684,4767.4261,,,1303.0,K0,4993.0,0.8,1.0,,4.55,K,-267.7007584953485,Too Cold,Gas-Giant,0.0,0.3544347043961826,0.6614556361521904,NeptuneLike-GasGiant-Only
50,BD+63 1405 b,BD+63 1405,1198.48,2.06,12.4,3305.41543,0.88,,,K0,5000.0,0.8,0.82,-0.09,4.2,K,-118.15189318408767,Too Cold,Gas-Giant,0.0,0.3554292095416485,0.6633116085654209,NeptuneLike-GasGiant-Only
51,BD-06 1339 c,BD-06 1339,125.94,0.435,8.38,53.0,0.31,,,K7/M0 V,4324.0,0.69,0.7,-0.14,4.74,K,-2.2490000209918435,Too Cold,Gas-Giant,0.0,0.22926807331722146,0.42786628229248275,NeptuneLike-GasGiant-Only
52,BD-08 2823 b,BD-08 2823,5.6,0.06,3.61,12.7132,0.15,,,K3 V,4816.0,0.71,0.5,-0.06,4.43,K,550.9597141535788,Too Hot,Neptune-Like,0.0,0.2926539736027502,0.5461587645929131,NeptuneLike-GasGiant-Only
53,BD-08 2823 c,BD-08 2823,237.6,0.68,12.5,104.0,0.19,,,K3 V,4746.0,0.72,0.74,-0.07,4.13,K,-30.21810846360205,Too Cold,Gas-Giant,0.0,0.28821135301877576,0.5378678258442321,NeptuneLike-GasGiant-Only
54,BD-10 3166 b,BD-10 3166,3.48777,0.04,14.1,187.5197,0.02,,,K0 V,5393.0,0.91,1.47,0.38,4.69,K,1006.426120782795,Too Hot,Gas-Giant,0.0,0.47035455367010975,0.877788395594517,NeptuneLike-GasGiant-Only
55,BD-11 4672 b,BD-11 4672,1634.0,2.36,14.1,206.5895,0.05,,,K7 V,4550.0,0.64,0.65,-0.35,4.64,K,-155.28349983025151,Too Cold,Gas-Giant,0.0,0.23546474273715134,0.43943067444242,NeptuneLike-GasGiant-Only
56,BD-11 4672 c,BD-11 4672,74.2,0.3,4.04,15.37,0.4,,,K7V,4550.0,0.64,0.65,-0.35,4.64,K,57.43699306408553,In HZ,Neptune-Like,0.0,0.23546474273715134,0.43943067444242,NeptuneLike-GasGiant-Only
57,BD-13 2130 b,BD-13 2130,714.29999,1.66,12.5,3108.3774,0.21,,,G5 IV/V,4545.0,19.17,2.12,-0.08,2.2,G,495.1589741635962,Too Hot,Gas-Giant,0.0,7.037412499441944,13.133409634967682,NeptuneLike-GasGiant-Only
58,BD-17 63 b,BD-17 63,655.57,1.34,12.8,1639.99458,0.5439,,,K5 V,4714.0,0.74,0.74,-0.03,4.26,K,-98.8898655209021,Too Cold,Gas-Giant,0.0,0.2922361893144034,0.5453790842489875,NeptuneLike-GasGiant-Only
59,BD-210397 b,BD-210397,1891.0,2.63,14.0,214.0,0.1,0.02,,K7 V,4051.0,0.75,0.68,0.12,4.67,K,-165.53817254446403,Too Cold,Gas-Giant,0.0,0.218730260307502,0.4082003305063239,NeptuneLike-GasGiant-Only
60,BD-210397 c,BD-210397,6240.0,5.9,12.9,1525.57635,0.43,0.0,,K7 V,4051.0,0.75,0.69,0.12,4.67,K,-201.3024646001632,Too Cold,Gas-Giant,0.0,0.218730260307502,0.4082003305063239,NeptuneLike-GasGiant-Only
61,Barnard b,Barnard's star,3.1533,0.02294,0.764,0.37,0.16,6.76,400.0,M3.5-4 V,3195.0,0.18,0.16,-0.56,4.9,M,172.05026507221066,Too Hot,Terrestrial,,0.03265407231058248,0.060939913347234274,Terrestrial-SuperEarth-Only
62,CD Cet b,CD Cet,2.2907,0.0185,1.82,3.95,,8.6,464.0,M5.0 V,3130.0,0.17,0.16,0.13,4.93,M,198.83472105365013,Too Hot,,0.0,0.029597887595147903,0.05523637873261387,
63,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,8040000.0,200.0,20.849,2479.06157,,,1800.0,M9-L1,2320.0,0.24,0.01,,3.85,M,-269.1521765242608,Too Cold,Gas-Giant,0.0,0.022956746129243626,0.04284250082331025,NeptuneLike-GasGiant-Only
64,CI Tau c,CI Tau,25.2,0.17,13.0,1144.18227,0.58,,,K7,3807.0,1.88,0.9,,,K,356.62054840517567,Too Hot,,,0.48422445936146713,0.9036727889077425,
65,COCONUTS-2 b,COCONUTS-2 A,402000000.0,7506.0,12.442,2542.62726,,,434.0,M3 V,3406.0,0.39,0.37,0.0,4.83,M,-271.9287131720813,Too Cold,Gas-Giant,0.0,0.08040388140529485,0.15005189916334102,NeptuneLike-GasGiant-Only
66,CoRoT-1 b,CoRoT-1,1.5089557,0.02752,16.7,327.35,0.0,2852.63,1898.0,G0 V,5950.0,1.11,0.95,-0.3,4.25,G,1606.5963331706193,Too Hot,Gas-Giant,0.0,0.698361083789301,1.303300351834171,NeptuneLike-GasGiant-Only
67,CoRoT-10 b,CoRoT-10,13.2406,0.1055,10.87,874.0,0.53,16.11,600.0,K1 V,4921.0,0.79,0.9,0.26,4.65,K,396.7125322141685,Too Hot,Gas-Giant,0.0,0.33998279616965243,0.634485093959157,NeptuneLike-GasGiant-Only
68,CoRoT-11 b,CoRoT-11,2.99433,0.0436,16.03,740.51,0.0,1890.65,1657.0,F6 V,6440.0,1.37,1.27,-0.03,4.22,F,1522.6084234743967,Too Hot,Gas-Giant,0.0,1.0097536272419865,1.8844295425364208,NeptuneLike-GasGiant-Only
69,CoRoT-12 b,CoRoT-12,2.828042,0.04016,16.14,291.438,0.07,661.13,1442.0,nan,5675.0,1.05,1.08,0.16,4.38,,1170.3230147790755,Too Hot,Gas-Giant,0.0,0.6009580414185997,1.1215241584892484,NeptuneLike-GasGiant-Only
70,CoRoT-13 b,CoRoT-13,4.03519,0.051,9.92,415.704,0.0,546.53,1700.0,G0 V,5945.0,1.01,1.09,0.01,4.46,G,1042.9002250330745,Too Hot,Gas-Giant,0.0,0.6343781436473166,1.1838936575980532,NeptuneLike-GasGiant-Only
71,CoRoT-14 b,CoRoT-14,1.51214,0.027,12.22,2415.4,0.0,,1952.0,F9 V,6035.0,1.21,1.13,0.05,4.35,F,1736.5585654358351,Too Hot,Gas-Giant,0.0,0.7831826163434561,1.4615965911107238,NeptuneLike-GasGiant-Only
72,CoRoT-16 b,CoRoT-16,5.35227,0.0618,13.11,170.032,0.33,,,G5 V,5650.0,1.19,1.1,0.19,4.36,G,960.1612610484125,Too Hot,Gas-Giant,0.0,0.6750982420248,1.259886607053564,NeptuneLike-GasGiant-Only
73,CoRoT-17 b,CoRoT-17,3.7681,0.0461,11.43,772.29,0.0,,1626.0,G2 V,5740.0,1.59,1.04,0.0,4.4,G,1403.741633231894,Too Hot,Gas-Giant,0.0,0.9309878842314063,1.7374347815724196,NeptuneLike-GasGiant-Only
74,CoRoT-18 b,CoRoT-18,1.9000693,0.0295,14.68,1102.82,0.08,823.7,1550.0,G9 V,5440.0,0.88,0.86,-0.1,4.4,G,1204.8493183472347,Too Hot,Gas-Giant,0.0,0.4628109136416361,0.8637102504466321,NeptuneLike-GasGiant-Only
75,CoRoT-19 b,CoRoT-19,3.89713,0.0518,14.46,352.78,0.047,1103.81,2000.0,F9 V,6090.0,1.65,1.21,-0.02,4.07,F,1436.6266858763347,Too Hot,Gas-Giant,0.0,1.0875310104781333,2.0295797997449028,NeptuneLike-GasGiant-Only
76,CoRoT-20 b,CoRoT-20,9.24285,0.09,9.416,1366.669,0.59,180.87,1024.0,G2 V,4947.5,1.37,1.14,0.14,4.35,G,687.0679885756662,Too Hot,Gas-Giant,0.0,0.5959575045374095,1.1121920212497953,NeptuneLike-GasGiant-Only
77,CoRoT-20 c,CoRoT-20,1675.0,2.9,12.2,5403.11,0.6,,,nan,4947.5,1.37,1.14,0.14,4.35,,-103.99217458998908,Too Cold,Gas-Giant,0.0,0.5959575045374095,1.1121920212497953,NeptuneLike-GasGiant-Only
78,CoRoT-21 b,CoRoT-21,2.72474,0.0417,14.572,718.2958,0.0,,,F8 IV,6200.0,1.95,1.29,0.0,3.7,F,1835.8956188515504,Too Hot,Gas-Giant,0.0,1.3321131344411448,2.486025577742341,NeptuneLike-GasGiant-Only
79,CoRoT-22 b,CoRoT-22,9.75598,0.092,4.88,12.2,0.077,,885.0,G3 V,5939.0,1.14,1.1,0.17,4.36,G,766.8104978536138,Too Hot,Neptune-Like,0.0,0.7145861951096032,1.3335800936227016,NeptuneLike-GasGiant-Only
80,CoRoT-23 b,CoRoT-23,3.6313,0.048,11.77,889.9,0.16,,1660.0,G0 V,5900.0,1.61,1.14,0.05,4.3,G,1426.6167790254408,Too Hot,Gas-Giant,0.0,0.9959855081236553,1.8587351060800652,NeptuneLike-GasGiant-Only
81,CoRoT-24 b,CoRoT-24,5.1134,0.056,3.7,5.7,0.0,,1070.0,K1 V,4950.0,0.86,0.91,0.3,4.55,K,691.8013477361819,Too Hot,Neptune-Like,0.0,0.3744828808921525,0.6988700856215916,NeptuneLike-GasGiant-Only
82,CoRoT-24 c,CoRoT-24,11.759,0.098,5.0,28.0,0.0,,850.0,K1 V,4950.0,0.86,0.91,0.3,4.55,K,456.2846552532991,Too Hot,Neptune-Like,0.0,0.3744828808921525,0.6988700856215916,NeptuneLike-GasGiant-Only
83,CoRoT-25 b,CoRoT-25,4.86069,0.0578,12.11,85.81,0.0,,1330.0,F9,6040.0,1.19,1.09,-0.01,4.31,F,1090.1502240526156,Too Hot,Gas-Giant,0.0,0.7715142619234692,1.4398207923528956,NeptuneLike-GasGiant-Only
84,CoRoT-26 b,CoRoT-26,4.20474,0.0526,14.12,165.26,0.0,,1600.0,G5,5590.0,1.79,1.09,0.01,3.99,G,1348.9979321962592,Too Hot,Gas-Giant,0.0,0.9940306296997158,1.855086859067375,NeptuneLike-GasGiant-Only
85,CoRoT-27 b,CoRoT-27,3.57532,0.0476,11.287,3302.11,0.065,,1500.0,G2,5900.0,1.08,1.05,-0.1,4.4,G,1124.8443589917392,Too Hot,Gas-Giant,0.0,0.6681145023438185,1.2468533630847642,NeptuneLike-GasGiant-Only
86,CoRoT-28 b,CoRoT-28,5.20851,0.0603,10.705,153.82972,0.047,,,G8/9 IV,5150.0,1.78,1.01,0.15,3.6,G,1118.7357227930142,Too Hot,Gas-Giant,0.0,0.8389915376960853,1.5657487102976972,NeptuneLike-GasGiant-Only
87,CoRoT-29 b,CoRoT-29,2.85057,0.0386,10.088,270.1555,0.082,,,K0 V,5260.0,0.9,0.97,0.2,4.3,K,990.300851722778,Too Hot,Gas-Giant,0.0,0.4425242939061532,0.8258508117515088,NeptuneLike-GasGiant-Only
88,CoRoT-3 b,CoRoT-3,4.2568,0.05783,11.32,6883.91,0.0,,1695.0,F3 V,6740.0,1.56,1.37,0.14,4.22,F,1468.2181848150167,Too Hot,Gas-Giant,0.0,1.259411084831187,2.350347045482788,NeptuneLike-GasGiant-Only
89,CoRoT-30 b,CoRoT-30,9.06005,0.0844,11.31,921.707,0.007,,,G3 V,5650.0,0.91,0.98,0.02,4.4,G,649.7250960814692,Too Hot,Gas-Giant,0.0,0.516251596842494,0.9634426995115489,NeptuneLike-GasGiant-Only
90,CoRoT-31 b,CoRoT-31,4.62941,0.0586,16.365,266.9772,0.02,,,G2 IV,5700.0,2.15,1.25,0.0,3.85,G,1444.3244444614752,Too Hot,Gas-Giant,0.0,1.2413987144358771,2.316731872446231,NeptuneLike-GasGiant-Only
91,CoRoT-35 b,CoRoT-35,3.22748,0.0429,18.831,349.61125,0.0,,1747.0,F6 V,6390.0,1.65,1.01,-0.5,4.01,F,1698.179360120865,Too Hot,Gas-Giant,0.0,1.1973159847213577,2.23446348939859,NeptuneLike-GasGiant-Only
92,CoRoT-36 b,CoRoT-36,5.616531,0.066,15.805,216.12332,0.0,,1567.0,F3 V,6730.0,1.52,1.32,-0.1,4.16,F,1333.457893568741,Too Hot,Gas-Giant,0.0,1.2234798930085191,2.2832912830250494,NeptuneLike-GasGiant-Only
93,CoRoT-4 b,CoRoT-4,9.20205,0.09,13.34,228.83,0.0,203.95,1074.0,nan,6190.0,1.17,1.16,0.05,4.41,,837.0656145718027,Too Hot,Gas-Giant,0.0,0.7966916764395474,1.4868075646097811,NeptuneLike-GasGiant-Only
94,CoRoT-5 b,CoRoT-5,4.0378962,0.04947,15.558,148.42,0.09,786.29,1438.0,F9 V,6254.0,1.11,1.0,-0.25,4.19,F,1200.4968397769017,Too Hot,Gas-Giant,0.0,0.7715460508011122,1.4398801176165423,NeptuneLike-GasGiant-Only
95,CoRoT-6 b,CoRoT-6,8.886593,0.0855,13.068,940.74,0.1,,1017.0,F9 V,6090.0,1.03,1.05,-0.2,4.43,F,778.3223423355445,Too Hot,Gas-Giant,0.0,0.6788829944196831,1.2669498143862121,NeptuneLike-GasGiant-Only
96,CoRoT-7 b,CoRoT-7,0.85359163,0.017016,1.681,4.07661,0.0,,1756.0,G9 V,5275.0,0.83,0.82,0.05,4.5,G,1559.4926004822805,Too Hot,Super-Earth,0.0,0.4104366557982219,0.7659679932406599,Mixed-Members
97,CoRoT-7 c,CoRoT-7,3.698,0.046,2.83,8.4,0.0,,,G9 V,5256.0,0.86,0.9,0.06,4.52,G,857.3502749614071,Too Hot,Neptune-Like,0.0,0.42221366421670736,0.7879465650306037,Mixed-Members
98,CoRoT-8 b,CoRoT-8,6.21229,0.063,6.39,69.92,0.0,,870.0,K1 V,5080.0,0.8,0.89,0.3,4.58,K,627.3494191687654,Too Hot,Gas-Giant,0.0,0.366893934124624,0.6847073878113071,NeptuneLike-GasGiant-Only
99,CoRoTID 223977153 b,CoRoTID 223977153,6.71837,0.071,6.389,47.6745,,132.26,938.0,G0 VI,5970.0,0.79,1.08,0.0,4.67,G,717.4622823648327,Too Hot,Gas-Giant,0.0,0.5003787681169413,0.9338203970339126,NeptuneLike-GasGiant-Only
100,DH Tau b,DH Tau,,330.0,30.264,3496.0,,,2200.0,M0.5,4371.0,0.27,0.33,,4.0,M,-266.93056798890944,Too Cold,,0.0,0.09167448885862291,0.17108541176917666,
101,DMPP-1 b,DMPP-1,18.57,0.1462,5.29,24.27,0.083,,877.0,F8 V,6196.0,1.26,1.21,,4.41,F,631.6821041811194,Too Hot,Neptune-Like,0.0,0.8596397384098685,1.6042829411987072,Mixed-Members
102,DMPP-1 c,DMPP-1,6.584,0.0733,3.06,9.6,0.057,,1239.0,F8 V,6196.0,1.26,1.21,,4.41,F,1004.7289031236156,Too Hot,Neptune-Like,0.0,0.8596397384098685,1.6042829411987072,Mixed-Members
103,DMPP-1 d,DMPP-1,2.882,0.0422,1.65,3.35,0.07,,1632.0,F8 V,6196.0,1.26,1.21,,4.41,F,1411.0181971946608,Too Hot,Super-Earth,0.0,0.8596397384098685,1.6042829411987072,Mixed-Members
104,DMPP-1 e,DMPP-1,5.516,0.0651,1.86,4.13,0.07,,1314.0,F8 V,6196.0,1.26,1.21,,4.41,F,1082.8234725566158,Too Hot,Super-Earth,0.0,0.8596397384098685,1.6042829411987072,Mixed-Members
105,DMPP-2 b,DMPP-2,5.2072,0.0664,14.3,138.89171,0.078,,1000.0,F5 V,6500.0,1.78,1.44,,4.1,F,1400.961285580131,Too Hot,Gas-Giant,0.0,1.336502685178984,2.4942174761081235,NeptuneLike-GasGiant-Only
106,DMPP-4 b,DMPP-4,3.4982,0.04853,3.53,12.2,0.063,,,F5-F8 V,6400.0,1.38,1.25,-0.007,4.24,F,1424.543858230982,Too Hot,Neptune-Like,0.0,1.0045282491749887,1.8746778005919347,NeptuneLike-GasGiant-Only
107,EPIC 201170410.02,EPIC 201170410,6.7987,0.0349,1.047,1.15,0.0,,,nan,3648.0,0.28,0.29,-0.048,5.0,,240.8535728854606,Too Hot,Super-Earth,0.0,0.06622024919126601,0.12358202092423878,Terrestrial-SuperEarth-Only
108,EPIC 201595106 b,EPIC 201595106,0.87724,0.0177,1.565,7.67,0.0,2852.0,2038.0,nan,5679.0,0.98,0.96,0.01,4.44,,1828.9011483325426,Too Hot,Super-Earth,0.0,0.5616851384667396,1.0482320042973476,Terrestrial-SuperEarth-Only
