
st_host_name,pl_lm_class
HD 47366,Similar
K2-105,N/A
K2-108,N/A
K2-107,N/A
Kepler-1854,N/A
Kepler-1855,N/A
Kepler-1856,N/A
Kepler-1857,N/A
Kepler-1858,N/A
Kepler-638,N/A
Kepler-1859,Similar
Kepler-637,N/A
Kepler-639,N/A
Kepler-634,N/A
BD+20 594,N/A
Kepler-633,Ordered
Kepler-635,N/A
Kepler-1850,N/A
Kepler-630,N/A
Kepler-1851,N/A
WASP-48,N/A
GJ 724,N/A
Kepler-1852,N/A
Kepler-632,N/A
WASP-47,Mixed
Kepler-1853,N/A
Kepler-631,N/A
WASP-46,N/A
WASP-44,N/A
K2-100,N/A
WASP-43,N/A
WASP-42,N/A
WASP-41,Ordered
K2-101,N/A
HD 331093,N/A
K2-104,N/A
Kepler-1829,N/A
HD 220197,N/A
Kepler-1821,N/A
Kepler-609,N/A
HD 161178,N/A
Kepler-1822,N/A
Kepler-608,N/A
Kepler-1823,N/A
Kepler-1824,N/A
Kepler-1825,N/A
Kepler-605,Ordered
Kepler-1826,N/A
Kepler-604,N/A
Kepler-1827,N/A
Kepler-607,Ordered
Kepler-1828,N/A
Kepler-606,N/A
Kepler-601,N/A
Kepler-600,N/A
WASP-19,N/A
Kepler-603,Ordered
TOI-4127,N/A
Kepler-602,N/A
WASP-17,N/A
WASP-16,N/A
WASP-15,N/A
Kepler-1820,N/A
WASP-13,N/A
WASP-10,N/A
HIP 97166,Anti-ordered
GJ 3998,Ordered
HD 21693,Ordered
Kepler-1832,N/A
Kepler-1833,N/A
Kepler-619,Ordered
Kepler-1834,Similar
Kepler-1835,N/A
Kepler-1836,N/A
Kepler-616,Similar
Kepler-1837,N/A
Kepler-615,N/A
BD+14 4559,N/A
Kepler-1838,N/A
Kepler-618,N/A
Kepler-1839,N/A
Kepler-617,N/A
Kepler-612,N/A
Kepler-611,N/A
Kepler-614,N/A
WASP-29,N/A
Kepler-613,N/A
TOI-4137,N/A
WASP-28,N/A
Kepler-1830,N/A
Kepler-610,Similar
WASP-25,N/A
HD 86950,N/A
Kepler-1831,N/A
WASP-23,N/A
WASP-22,N/A
WASP-21,N/A
GJ 3988,N/A
HD 97658,N/A
HIP 56640,N/A
Kepler-1007,N/A
TOI-4153,N/A
HD 143361,N/A
Kepler-1009,N/A
L 168-9,N/A
Kepler-1000,N/A
Kepler-1001,Ordered
Kepler-1002,N/A
Kepler-1003,N/A
HD 218566,N/A
Kepler-1004,N/A
Kepler-1005,N/A
Kepler-1006,N/A
HD 76700,N/A
Kepler-1018,N/A
Kepler-1019,N/A
HD 180314,N/A
Gl 686,N/A
Kepler-1010,N/A
Kepler-1011,N/A
HD 156668,Ordered
Kepler-1012,N/A
Kepler-1013,N/A
Kepler-1014,N/A
Kepler-1015,N/A
Kepler-1016,Ordered
Kepler-1017,N/A
HD 5891,N/A
HD 192310,Similar
HD 207897,N/A
HD 108147,N/A
HD 18015,N/A
K2-193,N/A
K2-192,N/A
K2-195,N/A
K2-197,N/A
K2-199,Ordered
TOI-4184,N/A
GJ 96,N/A
HD 20329,N/A
GJ 3942,N/A
HD 189567,Similar
Qatar-10,N/A
HD 215497,Ordered
K2-174,N/A
HD 360,N/A
HD 102843,N/A
K2-180,N/A
K2-182,N/A
K2-181,N/A
bet Pic,Similar
GJ 3929,Ordered
K2-184,N/A
K2-183,Similar
K2-188,Ordered
HD 63433,Ordered
K2-187,Similar
K2-189,Ordered
HD 285507,N/A
Kepler-689,N/A
Kepler-688,N/A
HD 10975,N/A
Kepler-685,N/A
Kepler-684,N/A
Kepler-687,N/A
K2-150,N/A
K2-153,N/A
Kepler-681,N/A
K2-152,N/A
Kepler-680,N/A
K2-155,Similar
Kepler-683,N/A
K2-154,Similar
Kepler-682,N/A
K2-156,N/A
K2-159,N/A
K2-158,Ordered
HIP 34222,N/A
HD 30562,N/A
Kepler-696,N/A
Kepler-695,N/A
K2-162,N/A
Kepler-698,N/A
Kepler-697,N/A
HD 22946,Similar
Kepler-692,N/A
Kepler-691,N/A
HD 63454,N/A
K2-166,N/A
Kepler-694,N/A
K2-167,N/A
HD 155358,Similar
HD 219828,Ordered
Kepler-690,N/A
HD 231701,N/A
HD 135694,N/A
HD 28109,Anti-ordered
HD 216770,N/A
HD 160691,N/A
