
st_host_name,pl_lm_class
Kepler-1257,N/A
Qatar-2,N/A
Kepler-1258,N/A
Qatar-1,N/A
Kepler-1259,N/A
HD 29399,N/A
Kepler-1250,N/A
Kepler-1251,N/A
HD 143105,N/A
HD 168443,Ordered
Kepler-1227,N/A
Kepler-1228,N/A
Kepler-1229,N/A
Kepler-1220,N/A
Kepler-1221,N/A
Kepler-1222,N/A
Kepler-1223,N/A
Kepler-1224,N/A
Kepler-1225,N/A
Kepler-1226,N/A
HD 13808,Similar
HD 156411,N/A
HD 47186,Ordered
Kepler-1238,N/A
Kepler-1239,N/A
TIC 46432937,N/A
HD 141399,Similar
Kepler-1230,N/A
Kepler-1231,N/A
Oph 11,N/A
Kepler-1232,N/A
Kepler-1233,N/A
Kepler-1234,N/A
Kepler-1235,N/A
Kepler-1236,N/A
Kepler-1237,N/A
BD+15 2940,N/A
HD 21411,N/A
HD 4760,N/A
HD 96127,N/A
Kepler-1205,N/A
Kepler-1206,N/A
Kepler-1207,N/A
Kepler-1208,N/A
Kepler-1209,N/A
Kepler-1200,N/A
Kepler-1201,N/A
Kepler-1202,N/A
Kepler-1203,N/A
Kepler-1204,N/A
HD 103949,N/A
HD 89839,N/A
Kepler-1216,N/A
Kepler-1217,N/A
Kepler-1218,N/A
Kepler-1219,N/A
HD 109246,N/A
Kepler-1210,N/A
Kepler-1211,N/A
Kepler-1212,N/A
Kepler-1213,N/A
Kepler-1214,N/A
Kepler-1215,N/A
HD 109271,Similar
LHS 1140,Ordered
HD 93083,N/A
HD 31527,Similar
HD 85390,N/A
Kepler-1087,N/A
Kepler-1088,N/A
GJ 357,Ordered
Kepler-1089,N/A
BD+20 2457,Anti-ordered
TOI-1716,N/A
Kepler-1080,N/A
Kepler-1081,N/A
Kepler-1082,N/A
Kepler-1083,N/A
Kepler-1084,N/A
Kepler-1085,Ordered
iot Dra,Similar
Kepler-1098,N/A
HD 216536,N/A
Kepler-1099,N/A
TOI-1723,N/A
HD 26161,N/A
HD 20868,N/A
Kepler-1090,Anti-ordered
Kepler-1091,N/A
TOI-1728,N/A
Kepler-1092,N/A
Kepler-1093,Similar
Kepler-1094,N/A
GJ 367,N/A
Kepler-1095,N/A
Kepler-1096,N/A
Kepler-1097,N/A
HIP 66074,N/A
Kepler-1065,Ordered
Kepler-1066,N/A
Kepler-1067,Ordered
Kepler-1068,N/A
HD 216520,Similar
Kepler-1069,N/A
TOI-1739,N/A
TOI-1736,Ordered
Kepler-1060,N/A
Kepler-1061,N/A
Kepler-1062,N/A
Kepler-1064,N/A
Kepler-1076,N/A
Kepler-1077,N/A
TOI-1742,N/A
Kepler-1078,N/A
Kepler-1079,N/A
HD 180053,N/A
TOI-1744,N/A
TOI-1749,Anti-ordered
TRAPPIST-1,Similar
Kepler-1070,N/A
Kepler-1071,N/A
Kepler-1072,N/A
HD 106906,N/A
Kepler-1073,Similar
Kepler-1074,N/A
Kepler-1075,N/A
AB Aur,N/A
Kepler-1043,N/A
Kepler-1044,N/A
TOI-1753,N/A
Kepler-1045,N/A
Kepler-1046,N/A
TOI-1751,N/A
Kepler-1047,Ordered
Kepler-1048,N/A
Kepler-1049,N/A
GJ 393,N/A
TOI-1758,N/A
TOI-1759,N/A
Kepler-1040,N/A
Kepler-1041,N/A
Kepler-1042,N/A
GJ 3090,N/A
HD 213472,N/A
HD 103891,N/A
Kepler-1054,N/A
Kepler-1055,N/A
Kepler-1056,N/A
Kepler-1057,N/A
Kepler-1058,N/A
Kepler-1059,N/A
TOI-1768,N/A
Kepler-1050,Similar
Kepler-1051,N/A
Kepler-1052,Similar
Kepler-1053,N/A
Kepler-1029,N/A
eps Tau,N/A
EPIC 249893012,Similar
HD 126525,N/A
HD 181342,N/A
TOI-1782,Similar
GJ 3082,N/A
HIP 35965,N/A
Kepler-1021,N/A
Kepler-1022,N/A
TOI-1775,N/A
Kepler-1023,N/A
TOI-1772,N/A
Kepler-1024,N/A
Kepler-1025,N/A
Kepler-1026,N/A
TOI-1776,N/A
Kepler-1028,N/A
TOI-1777,N/A
HD 96063,N/A
Kepler-1020,N/A
HD 23079,N/A
HD 81817,Similar
HD 99109,N/A
HD 6434,N/A
HD 167042,N/A
Kepler-1032,N/A
Kepler-1033,N/A
Kepler-1034,N/A
Kepler-1035,N/A
Kepler-1036,N/A
TOI-1789,N/A
Kepler-1037,N/A
Kepler-1038,Ordered
HD 36384,N/A
Kepler-1039,N/A
HD 105618,Ordered
Kepler-1030,N/A
Kepler-1031,N/A
Kepler-1928,N/A
Kepler-1929,N/A
BD-210397,Ordered
Kepler-1920,N/A
Kepler-829,N/A
TOI-836,Ordered
Kepler-1921,Ordered
Kepler-828,N/A
TOI-837,N/A
Kepler-1922,N/A
Kepler-1923,N/A
Kepler-1924,N/A
Kepler-825,Similar
Kepler-1925,N/A
Kepler-824,N/A
TOI-833,N/A
Kepler-1926,N/A
Kepler-827,N/A
Kepler-1927,N/A
Kepler-826,N/A
Kepler-821,N/A
Kepler-820,N/A
Kepler-823,N/A
TOI-1794,N/A
Kepler-822,N/A
TOI-1798,Similar
TOI-1799,N/A
Kepler-1939,N/A
Kepler-1931,N/A
Kepler-1932,N/A
Kepler-839,N/A
HD 1605,Ordered
Kepler-1933,N/A
Kepler-1934,N/A
Kepler-1935,N/A
Kepler-836,N/A
Kepler-1936,N/A
Kepler-835,N/A
Kepler-1937,N/A
Kepler-838,N/A
Kepler-1938,N/A
Kepler-837,N/A
TOI-824,N/A
Kepler-832,N/A
HD 125271,N/A
Kepler-831,N/A
Kepler-834,N/A
Kepler-833,N/A
Kepler-830,N/A
Kepler-1930,N/A
HD 199509,N/A
Kepler-1906,N/A
Kepler-1907,Ordered
Kepler-1909,N/A
2MASS J02192210-3925225,N/A
Kepler-806,N/A
HD 117618,N/A
Kepler-1900,N/A
Kepler-809,N/A
Kepler-1901,N/A
Kepler-808,N/A
Kepler-1902,N/A
Kepler-803,N/A
Kepler-1903,N/A
Kepler-802,N/A
EPIC 211822797,N/A
Kepler-1904,N/A
Kepler-805,N/A
Kepler-1905,N/A
Kepler-804,Ordered
TOI-813,N/A
TYC 0434-04538-1,N/A
Kepler-801,N/A
Kepler-800,N/A
HD 174205,N/A
Kepler-1917,N/A
Kepler-1918,N/A
Kepler-1919,N/A
Kepler-818,N/A
Kepler-1910,N/A
Kepler-817,N/A
HIP 113103,Ordered
Kepler-1911,N/A
Kepler-1912,N/A
Kepler-819,N/A
HD 2952,N/A
Kepler-1913,N/A
Kepler-814,N/A
Kepler-1914,N/A
Kepler-813,N/A
Kepler-1915,N/A
Kepler-816,N/A
TOI-4860,N/A
Kepler-1916,N/A
Kepler-815,N/A
Kepler-810,N/A
Kepler-812,N/A
Kepler-811,N/A
HD 175541,N/A
HS Psc,N/A
HD 152843,N/A
TOI-871,N/A
TOI-2211,N/A
HD 290327,N/A
TOI-2202,Anti-ordered
TOI-2207,N/A
GJ 317,Similar
HD 179079,N/A
ups Leo,N/A
GJ 328,Ordered
BD+49 828,N/A
HD 45350,N/A
WTS-2,N/A
WTS-1,N/A
HD 45364,Ordered
HD 155918,Ordered
TOI-849,N/A
HD 128311,Ordered
TOI-2236,N/A
TOI-3568,N/A
KOI-7892,N/A
KELT-21,N/A
KELT-20,N/A
Kepler-788,N/A
Kepler-787,N/A
Kepler-789,N/A
Kepler-784,Similar
Kepler-783,Ordered
Kepler-786,N/A
Kepler-780,N/A
Kepler-782,N/A
Kepler-781,N/A
TOI-782,N/A
TOI-2260,N/A
TOI-2266,N/A
HD 11112,N/A
Kepler-799,Ordered
Kepler-798,N/A
TOI-2257,N/A
Kepler-794,N/A
Kepler-797,N/A
Kepler-796,N/A
Kepler-791,N/A
Kepler-790,N/A
Kepler-793,N/A
HIP 8152,Similar
Kepler-792,N/A
TOI-776,Similar
HATS-1,N/A
HD 72892,N/A
HATS-2,N/A
GJ 1265,N/A
HATS-3,N/A
TOI-771,N/A
HATS-4,N/A
Kepler-1986,N/A
Kepler-1987,Similar
Kepler-1988,N/A
Kepler-1989,N/A
Kepler-769,Anti-ordered
TOI-5301,N/A
TOI-778,N/A
TOI-2274,N/A
HD 109988,N/A
Kepler-766,N/A
Kepler-765,N/A
Kepler-1980,N/A
Kepler-768,N/A
Kepler-1981,N/A
Kepler-767,N/A
Kepler-1982,N/A
Kepler-1983,N/A
Kepler-761,N/A
Kepler-1984,N/A
Kepler-764,N/A
Kepler-1985,N/A
Kepler-763,Similar
Kepler-760,Ordered
GJ 1252,N/A
TOI-763,Similar
Kepler-1997,N/A
Kepler-1998,N/A
Kepler-1999,N/A
TOI-2285,N/A
EPIC 229004835,N/A
Kepler-777,N/A
Kepler-1990,Anti-ordered
Kepler-776,N/A
HD 63935,Similar
Kepler-1991,Ordered
Kepler-1992,N/A
Kepler-778,N/A
Kepler-1993,N/A
Kepler-773,N/A
Kepler-1994,N/A
Kepler-772,N/A
Kepler-1995,N/A
Kepler-775,N/A
Kepler-1996,Similar
Kepler-774,N/A
HATS-5,N/A
HATS-6,N/A
HATS-7,N/A
Kepler-771,N/A
HATS-8,N/A
Kepler-770,Ordered
HATS-9,N/A
HIP 97233,N/A
6 Lyn,N/A
HD 25723,N/A
HD 222237,N/A
Kepler-1964,N/A
Kepler-1965,N/A
HD 200964,Similar
Kepler-1966,N/A
Kepler-1967,N/A
Kepler-1968,N/A
Kepler-748,N/A
Kepler-1969,N/A
Kepler-749,N/A
TOI-6651,N/A
Kepler-744,N/A
Kepler-746,N/A
Kepler-745,N/A
Kepler-1960,N/A
Kepler-740,N/A
Kepler-1961,N/A
Kepler-1962,N/A
Kepler-742,N/A
TOI-5319,N/A
Kepler-1963,N/A
Kepler-741,N/A
CI Tau,N/A
Kepler-1977,N/A
Kepler-1978,N/A
Kepler-759,N/A
Kepler-758,Similar
2MASS J01225093-2439505,N/A
Kepler-754,N/A
Kepler-757,N/A
Kepler-756,N/A
Kepler-751,N/A
Kepler-1972,Similar
Kepler-750,Ordered
70 Vir,N/A
Kepler-753,N/A
Kepler-752,N/A
eps CrB,N/A
HD 49674,N/A
Kepler-1942,N/A
XO-7,N/A
Kepler-1943,N/A
Kepler-729,N/A
TOI-4010,Ordered
XO-6,N/A
Kepler-1944,N/A
Kepler-1945,N/A
Kepler-1946,N/A
Kepler-726,N/A
Kepler-1947,N/A
Kepler-725,N/A
Kepler-1948,N/A
Kepler-728,N/A
TOI-5344,N/A
Kepler-1949,N/A
Kepler-727,N/A
Kepler-722,Similar
HD 10697,N/A
Kepler-721,N/A
HD 13724,N/A
Kepler-724,N/A
Kepler-1940,N/A
Kepler-720,N/A
Kepler-1941,N/A
HD 206255,N/A
GJ 1214,N/A
HD 95544,N/A
HD 208897,N/A
Kepler-1953,N/A
KELT-14,N/A
Kepler-1954,N/A
Kepler-1955,N/A
KELT-12,N/A
Kepler-1956,N/A
KELT-11,N/A
Kepler-1957,N/A
Kepler-737,N/A
KELT-10,N/A
Kepler-1958,N/A
Kepler-736,N/A
Kepler-1959,N/A
Kepler-739,N/A
Kepler-738,N/A
Kepler-733,N/A
Kepler-732,Ordered
xi Aql,N/A
Kepler-735,N/A
XO-1,N/A
Kepler-734,N/A
XO-3,N/A
Kepler-1950,N/A
KELT-17,N/A
Kepler-1951,N/A
XO-5,N/A
Kepler-1952,N/A
Kepler-730,N/A
XO-4,N/A
HD 20003,Similar
Lupus-TR-3,N/A
Kepler-1128,N/A
Kepler-1129,Similar
TIC 365102760,N/A
Kepler-1120,N/A
Kepler-1121,N/A
Kepler-1122,N/A
Kepler-1123,N/A
Kepler-1124,N/A
Kepler-1125,N/A
Kepler-1126,Similar
Kepler-1127,N/A
HD 330075,N/A
KOI-4777,N/A
Kepler-1139,N/A
BD+20 274,N/A
Kepler-1131,N/A
Kepler-1132,N/A
Kepler-1133,N/A
Kepler-1134,N/A
Kepler-1135,N/A
Kepler-1136,N/A
Kepler-1137,N/A
Kepler-1138,N/A
HD 190228,N/A
HD 100777,N/A
HD 73344,Ordered
Kepler-1106,N/A
Kepler-1107,N/A
Kepler-1108,N/A
Kepler-1109,N/A
TOI-5388,N/A
HD 134987,Anti-ordered
Kepler-1100,N/A
Kepler-1101,N/A
Kepler-1102,N/A
Kepler-1103,N/A
Kepler-1104,N/A
Kepler-1105,N/A
HIP 79431,N/A
HD 215152,Similar
Kepler-1117,N/A
Kepler-1118,N/A
Kepler-1119,N/A
HD 2039,N/A
TOI-5398,Ordered
Kepler-1110,N/A
Kepler-1111,N/A
Kepler-1112,N/A
HD 11977,N/A
Kepler-1113,N/A
Kepler-1114,N/A
HD 10647,N/A
Kepler-1115,N/A
Kepler-1116,N/A
HD 74698,Ordered
Gl 378,N/A
HIP 75092,N/A
HD 110113,Ordered
2MASS J04414489+2301513,N/A
TOI-4087,N/A
TOI-1806,N/A
TOI-1807,N/A
rho CrB,Ordered
HD 98649,N/A
WISEP J121756.91+162640.2 A,N/A
TOI-1811,N/A
HD 158996,N/A
"Teegarden's Star",Similar
HD 216437,N/A
BD-10 3166,N/A
TOI-1823,N/A
TOI-1820,N/A
HD 216435,N/A
TOI-1824,N/A
mu Leo,N/A
HD 18438,N/A
GJ 238,N/A
CoRoT-31,N/A
CoRoT-35,N/A
CoRoT-36,N/A
HD 156279,Similar
HD 14067,N/A
CoRoT-30,N/A
HD 181234,N/A
KOI-1783,Anti-ordered
CoRoT-22,N/A
CoRoT-23,N/A
CoRoT-20,Ordered
CoRoT-21,N/A
CoRoT-26,N/A
CoRoT-27,N/A
CoRoT-24,Ordered
CoRoT-25,N/A
CoRoT-28,N/A
CoRoT-29,N/A
OGLE-TR-10,N/A
CoRoT-11,N/A
CoRoT-12,N/A
CoRoT-10,N/A
CoRoT-16,N/A
CoRoT-13,N/A
CoRoT-14,N/A
CoRoT-19,N/A
CoRoT-17,N/A
CoRoT-18,N/A
TIC 393818343,N/A
KOI-3503,Similar
TOI-2714,N/A
HD 205739,N/A
GJ 273,Ordered
HD 28678,N/A
HD 134060,Ordered
TOI-1408,Ordered
Kepler-290,Ordered
OGLE-TR-56,N/A
Kepler-1384,N/A
TOI-1410,Ordered
KOI-984,Ordered
Kepler-1385,N/A
Kepler-1386,N/A
Kepler-1387,N/A
TOI-1411,N/A
Kepler-1388,Similar
Kepler-289,Ordered
Kepler-1389,N/A
Kepler-288,Similar
TOI-1416,N/A
Kepler-285,Anti-ordered
HD 29985,N/A
Kepler-284,Similar
Kepler-287,Ordered
GJ 251,N/A
Kepler-286,Similar
Kepler-1380,N/A
Kepler-281,Ordered
Kepler-1381,N/A
Kepler-280,Ordered
Kepler-1382,N/A
Kepler-283,Similar
Kepler-1383,N/A
Kepler-282,Ordered
HD 15337,Similar
Kepler-1395,N/A
Kepler-1396,N/A
TOI-1420,N/A
Kepler-1397,N/A
Kepler-1398,Ordered
TOI-1422,N/A
Kepler-1399,N/A
Kepler-299,Similar
Kepler-295,Similar
Kepler-298,Similar
Kepler-1390,N/A
Kepler-297,Similar
Kepler-1391,N/A
Kepler-292,Similar
Kepler-1392,N/A
Kepler-291,Similar
Kepler-1393,N/A
Kepler-294,Ordered
Kepler-1394,N/A
Kepler-293,Similar
TOI-1431,N/A
TOI-2768,N/A
TOI-1437,N/A
Wolf 503,N/A
TOI-1439,N/A
GJ 9714,N/A
TOI-1451,N/A
TOI-1443,N/A
TOI-1442,N/A
TOI-1444,N/A
HD 210277,N/A
TOI-1448,N/A
HIP 74890,N/A
HIP 105854,N/A
HD 158038,N/A
TOI-1470,Similar
TOI-1472,N/A
TOI-1467,N/A
TOI-2796,N/A
2MASS J21252752-8138278,N/A
HIP 948,N/A
TOI-1478,N/A
TOI-4504,Ordered
HD 8574,N/A
HD 66141,N/A
AF Lep,N/A
HIP 109384,N/A
HD 151450,Ordered
G 264-012,Similar
HD 149143,N/A
TOI-4515,N/A
kap CrB,N/A
HD 12235,Ordered
TOI-4527,N/A
HD 171028,N/A
KOI-12,Ordered
MASCARA-1,N/A
Kepler-1403,N/A
Kepler-1404,N/A
Kepler-1405,N/A
Kepler-1406,N/A
Kepler-1407,N/A
Kepler-1408,N/A
Kepler-1409,N/A
TOI-4551,N/A
Kepler-1400,N/A
Kepler-1401,N/A
Kepler-1402,N/A
mu2 Sco,N/A
HD 121504,N/A
Kepler-1414,N/A
Kepler-1415,N/A
Kepler-1416,N/A
Kepler-1417,N/A
Kepler-1418,N/A
bet UMi,N/A
Kepler-1419,N/A
TOI-4562,Ordered
Kepler-1410,N/A
Kepler-1411,N/A
Kepler-1412,N/A
Kepler-1413,N/A
TOI-4559,N/A
HD 190984,N/A
HD 69123,N/A
EPIC 201841433,N/A
HD 96700,Similar
HD 142415,N/A
Pr0201,N/A
HD 3651,N/A
HD 37605,Similar
TOI-3235,N/A
HD 167768,N/A
HD 129445,N/A
HD 207496,N/A
TOI-237,N/A
TOI-3261,N/A
TOI-238,Ordered
HD 45184,Similar
TOI-220,N/A
BD+48 738,N/A
HD 4917,N/A
HIP 90988,N/A
LHS 3154,N/A
HD 7199,N/A
HD 62509,N/A
EPIC 201757695,N/A
BD+48 740,N/A
HD 162020,N/A
HD 30177,Similar
TOI-216,Ordered
HIP 35173,N/A
GJ 3512,Anti-ordered
TOI-201,N/A
HD 188641,N/A
HD 50554,N/A
TOI-206,N/A
HD 83443,Ordered
HD 115404 A,Ordered
HD 165155,N/A
HD 285968,N/A
TOI-277,N/A
TOI-5005,N/A
Kepler-1483,N/A
Kepler-1484,N/A
Kepler-1485,N/A
Kepler-1486,N/A
HD 219415,N/A
Kepler-1487,Ordered
Kepler-267,Anti-ordered
Kepler-1488,Similar
Kepler-266,Ordered
Kepler-1489,N/A
Kepler-269,Anti-ordered
Kepler-268,Ordered
Kepler-263,Similar
TOI-270,Ordered
Kepler-262,Similar
Kepler-265,Similar
Kepler-264,Similar
Kepler-1481,N/A
Kepler-261,Similar
HD 22532,N/A
Kepler-1482,N/A
Kepler-260,Similar
TOI-269,N/A
2MASS J11550485-7919108,N/A
Kepler-1494,N/A
Kepler-1495,N/A
Kepler-1496,N/A
Kepler-1497,N/A
Kepler-1498,N/A
Kepler-278,Similar
Kepler-1499,N/A
Kepler-277,Similar
HD 260655,Similar
Kepler-279,Ordered
Kepler-274,Similar
Kepler-273,Ordered
TOI-260,N/A
Kepler-276,Similar
TOI-261,N/A
Kepler-275,Similar
TOI-262,N/A
Kepler-1490,N/A
Kepler-270,Similar
HD 62549,N/A
Kepler-1491,Ordered
Kepler-1492,N/A
Kepler-272,Anti-ordered
Kepler-1493,N/A
Kepler-271,Ordered
TOI-257,N/A
HD 48265,N/A
Kepler-1469,N/A
HD 40307,Similar
Kepler-1461,N/A
Kepler-249,Similar
Kepler-1462,N/A
Kepler-248,Ordered
Kepler-1463,N/A
Kepler-1464,Ordered
Kepler-1465,N/A
Kepler-245,Ordered
Kepler-1466,N/A
Kepler-244,Similar
Kepler-1467,N/A
Kepler-247,Ordered
Kepler-1468,Ordered
Kepler-246,Anti-ordered
Kepler-241,Similar
Kepler-240,Ordered
Kepler-243,Similar
Kepler-242,Similar
TOI-251,N/A
Kepler-1460,N/A
TYC 3667-1280-1,N/A
TOI-244,N/A
HD 17156,N/A
Kepler-1472,N/A
Kepler-1473,N/A
Kepler-259,Similar
Kepler-1474,N/A
Kepler-1475,N/A
Kepler-1476,N/A
Kepler-256,Similar
Kepler-1477,N/A
Kepler-255,Ordered
Kepler-1478,N/A
Kepler-258,Similar
Kepler-1479,N/A
Kepler-257,Ordered
Kepler-252,Ordered
Kepler-251,Similar
Kepler-254,Similar
Kepler-253,Ordered
HN Lib,N/A
Kepler-1470,N/A
Kepler-250,Ordered
Kepler-1471,Ordered
Kepler-1447,N/A
Kepler-1448,N/A
Kepler-1449,N/A
Kepler-227,Similar
Kepler-1440,N/A
Kepler-226,Anti-ordered
Kepler-1441,N/A
Kepler-229,Ordered
Kepler-1442,N/A
Kepler-228,Ordered
Kepler-1443,N/A
Kepler-223,Similar
Kepler-1444,N/A
Kepler-222,Similar
Kepler-1445,N/A
Kepler-225,Ordered
Kepler-1446,N/A
Kepler-224,Similar
Kepler-221,Similar
Kepler-220,Ordered
HD 20794,Similar
HD 75898,Ordered
Kepler-1458,N/A
Kepler-1459,N/A
USco1556 A,N/A
Kepler-1450,N/A
Kepler-238,Mixed
Kepler-1451,N/A
Kepler-237,Ordered
Kepler-1452,N/A
Kepler-1453,N/A
Kepler-239,Similar
Kepler-1454,N/A
Kepler-234,Similar
Kepler-1455,N/A
Kepler-233,Similar
Kepler-1456,N/A
Kepler-236,Similar
Kepler-1457,N/A
Kepler-235,Similar
Kepler-230,Anti-ordered
HD 203030,N/A
HD 112640,N/A
Kepler-232,Similar
Kepler-231,Similar
DMPP-1,Ordered
DMPP-2,N/A
HAT-P-2,N/A
HD 73267,Similar
HAT-P-6,N/A
HD 165131,N/A
HAT-P-5,N/A
Kepler-1425,N/A
Kepler-1426,N/A
Kepler-1427,N/A
TrES-5,N/A
HAT-P-9,N/A
Kepler-1428,N/A
Kepler-1429,N/A
Kepler-209,Ordered
TrES-3,N/A
Kepler-208,Similar
Kepler-205,Similar
Kepler-204,Anti-ordered
Kepler-207,Ordered
Kepler-1420,N/A
Kepler-206,Similar
Kepler-1421,N/A
Kepler-201,Similar
HD 103720,N/A
Kepler-1422,N/A
Kepler-200,Anti-ordered
Kepler-1423,N/A
Kepler-203,Ordered
Kepler-1424,N/A
Kepler-202,Similar
HD 110014,N/A
DMPP-4,N/A
EPIC 211945201,N/A
HD 73256,N/A
TOI-286,Similar
POTS-1,N/A
Kepler-1436,N/A
Kepler-1437,N/A
HD 6718,N/A
Kepler-1438,N/A
Kepler-1439,N/A
Kepler-219,Similar
Kepler-216,Similar
Kepler-215,Mixed
61 Vir,Ordered
Kepler-1430,N/A
Kepler-218,Ordered
Kepler-1431,N/A
Kepler-217,Similar
Kepler-1432,N/A
Kepler-212,Ordered
Kepler-1433,N/A
Kepler-211,Ordered
HD 87883,N/A
Kepler-1434,N/A
Kepler-214,Similar
Kepler-1435,N/A
Kepler-213,Ordered
Kepler-210,Similar
TOI-5082,N/A
HD 112570,N/A
HD 204313,Ordered
HD 111232,Ordered
TOI-2818,N/A
HD 19615,N/A
HIP 91258,N/A
TIC 279401253,Similar
Kepler-191,Similar
Kepler-190,Similar
HD 52265,N/A
Kepler-1285,N/A
Kepler-1286,N/A
TOI-2842,N/A
Kepler-1287,N/A
Kepler-1288,N/A
Kepler-1289,N/A
Kepler-189,Ordered
Kepler-186,Similar
Kepler-185,Ordered
Kepler-188,Ordered
HD 240210,N/A
Kepler-1280,N/A
Kepler-187,Ordered
TOI-1518,N/A
Kepler-1281,N/A
Kepler-182,Ordered
Kepler-1282,N/A
Kepler-181,Ordered
HD 192699,N/A
Kepler-1283,N/A
Kepler-184,Similar
Kepler-1284,N/A
Kepler-183,Ordered
HD 102329,N/A
Kepler-1296,N/A
Kepler-1297,N/A
Kepler-1298,N/A
Kepler-1299,N/A
HD 141937,N/A
HD 104985,N/A
Kepler-196,Similar
Kepler-1290,N/A
Kepler-199,Similar
GJ 163,Ordered
Kepler-1291,N/A
Kepler-198,Similar
Kepler-1292,N/A
Kepler-193,Similar
Kepler-1293,N/A
Kepler-192,Ordered
Kepler-1294,N/A
Kepler-195,Similar
Kepler-1295,N/A
Kepler-194,Similar
HD 210193,N/A
HD 240237,N/A
Kepler-1263,N/A
Kepler-1264,N/A
Kepler-1265,N/A
Kepler-1266,Ordered
Kepler-1267,N/A
Kepler-168,Ordered
Kepler-1268,N/A
Kepler-1269,N/A
Kepler-169,Similar
Kepler-164,Ordered
Kepler-163,Ordered
81 Cet,N/A
Kepler-166,Similar
Kepler-165,Similar
Kepler-160,Ordered
Kepler-1260,N/A
Kepler-1261,N/A
Kepler-162,Ordered
Kepler-1262,N/A
Kepler-161,Similar
Kepler-180,Ordered
HD 42012,N/A
Kepler-1274,N/A
Kepler-1275,N/A
Kepler-1276,N/A
Kepler-1277,N/A
Kepler-1278,N/A
Kepler-179,Similar
Kepler-1279,N/A
Kepler-178,Similar
Kepler-175,Similar
GJ 143,Ordered
Kepler-174,Similar
Kepler-177,Ordered
Kepler-176,Similar
Kepler-1270,N/A
Kepler-171,Similar
Kepler-1271,N/A
Kepler-170,Anti-ordered
Kepler-1272,N/A
Kepler-173,Ordered
Kepler-1273,N/A
Kepler-172,Similar
V0391 Peg,N/A
PH2,N/A
HD 307842,N/A
GJ 9827,Similar
HD 153950,N/A
HIP 4845,N/A
TOI-4602,N/A
TOI-4600,Ordered
TOI-4603,N/A
HD 159243,Ordered
Kapteyn,N/A
HD 25463,Ordered
HD 82943,Similar
HD 220689,N/A
HD 149026,N/A
GU Psc,N/A
HD 38801,N/A
HD 150010,N/A
GSC 06214-00210,N/A
HD 14787,N/A
TOI-4641,N/A
HD 212771,N/A
TOI-4638,N/A
HD 81688,N/A
HD 114386,N/A
HD 164604,N/A
HD 194490,N/A
TOI-3321,N/A
GJ 1061,Similar
CD Cet,N/A
TOI-2000,Ordered
14 Her,Anti-ordered
HD 22496,N/A
Gaia-1,N/A
Gaia-2,N/A
CoRoT-1,N/A
TOI-2010,N/A
CoRoT-4,N/A
HD 130322,N/A
CoRoT-5,N/A
CoRoT-3,N/A
CoRoT-8,N/A
HD 33142,Ordered
CoRoT-6,N/A
CoRoT-7,Ordered
eps Eri,N/A
OGLE2-TR-L9,N/A
TOI-3353,N/A
HD 152581,N/A
TOI-2015,N/A
TOI-2019,N/A
HD 211403,N/A
TOI-3362,N/A
HD 72659,Ordered
TOI-3364,N/A
TOI-2025,N/A
HIP 65891,N/A
KOI-142,Ordered
HD 34445,Similar
HIP 63242,N/A
GPX-1,N/A
GJ 1002,Similar
Kepler-989,N/A
Kepler-986,N/A
Kepler-985,N/A
Kepler-988,N/A
Kepler-987,N/A
Kepler-982,N/A
Kepler-981,N/A
Kepler-984,N/A
Kepler-983,N/A
Kepler-980,N/A
nu Oph,Similar
HD 35759,N/A
TOI-2068,N/A
HD 104067,Ordered
Kepler-997,N/A
Kepler-996,N/A
Kepler-999,N/A
Kepler-998,N/A
Kepler-993,N/A
Kepler-992,N/A
Kepler-995,N/A
Kepler-994,N/A
Kepler-991,N/A
Kepler-990,Ordered
KIC 9663113,Similar
Kepler-968,Similar
HD 141004,N/A
Kepler-967,Ordered
TOI-2076,Similar
Kepler-969,Ordered
Kepler-964,N/A
Kepler-963,N/A
Kepler-966,N/A
Kepler-965,N/A
Kepler-960,N/A
Kepler-962,N/A
Kepler-961,N/A
GJ 3634,N/A
HD 17092,N/A
HIP 56998,Similar
USco CTIO 108,N/A
TOI-2081,N/A
Kepler-979,N/A
Kepler-978,N/A
HD 10442,N/A
TOI-2088,N/A
Kepler-975,Ordered
TOI-5108,N/A
Kepler-974,N/A
Kepler-977,N/A
HD 42813,Similar
Kepler-976,N/A
Kepler-971,N/A
Kepler-973,N/A
Kepler-972,N/A
TOI-157,N/A
TOI-2096,Ordered
TOI-2095,Ordered
TOI-5126,Similar
Kepler-1362,N/A
Kepler-1363,N/A
Kepler-149,Similar
Kepler-1364,N/A
Kepler-1365,Ordered
Kepler-1366,N/A
Kepler-146,Similar
Kepler-1367,N/A
Kepler-145,Ordered
Kepler-1368,N/A
Kepler-148,Ordered
Kepler-1369,N/A
Kepler-147,Ordered
Kepler-142,Similar
Kepler-141,Ordered
TOI-150,N/A
Kepler-144,Similar
Kepler-143,Ordered
HD 63765,N/A
Kepler-1360,N/A
Kepler-140,Similar
Kepler-1361,N/A
KOI-3680,N/A
Kepler-1373,N/A
Kepler-1374,N/A
HD 11755,N/A
Kepler-1375,N/A
Kepler-1376,N/A
Kepler-1377,N/A
Kepler-157,Similar
Kepler-1378,N/A
Kepler-156,Similar
Kepler-1379,N/A
Kepler-159,Ordered
