,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_dens,pl_orbeccen,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_dens,sy_dist,sy_bmag,sy_vmag,hz_label
15,2,1,86.647661,0.382,10.54,0.94,460.83,1.45,2.1,0.772,,,5520.0,1.13,0.99,0.27,4.32,9.3,0.99,,15.83,14.818,0.0
16,3,1,1.763588,0.03641,16.948,1.512,2949.4624,9.28,3.6,0.00064,4.5007,0.08737,7650.0,1.74,1.72,0.2,4.2,,,519.096,10.654,9.791,0.0
21,1,2,134.4628,,8.86,0.79,71.0,0.22339,0.56,0.0,94.8,0.07102,5922.0,1.14,1.08,0.11,4.3,,,865.73,14.686,13.978,0.0
22,1,2,284.215,,5.44,0.485,15.0,0.0472,0.51,0.0,,,5922.0,1.14,1.08,0.11,4.3,,,865.73,14.686,13.978,0.0
23,1,4,34.169,,1.13,0.101,2.23,0.00702,9.95,,,,5233.0,0.83,0.9,,,,,501.574,15.762,14.222,0.0
24,1,3,7.685,,2.58,0.23,11.02,0.03467,4.5,,,,4413.0,0.67,0.68,,,,,290.324,16.175,14.626,0.0
27,1,2,21.185,,1.19,0.106,9.2,0.02895,10.0,,,,6001.0,1.25,0.86,,,,,887.064,14.556,13.831,0.0
28,1,2,31.828,,1.21,0.108,10.36,0.0326,10.0,,,,6001.0,1.25,0.86,,,,,887.064,14.556,13.831,0.0
36,1,1,141.241671,0.534,11.097,0.99,613.4119,1.93,2.46,0.496,125.7,0.10646,5830.0,0.96,1.01,0.16,4.47,3.2,1.88,921.986,15.259,14.616,0.0
37,1,1,0.412,0.008,0.51,0.045,99.2,0.31212,,0.0,4.28,0.0116,3515.0,0.4,0.41,0.1,4.77,4.0,8.9,172.245,18.608,16.413,0.0
42,2,4,3.743208,0.05119,1.71,0.153,10.5,0.033,10.1,0.25,7.25,0.01031,6182.0,1.52,1.28,0.023,4.18,3.16,,477.052,13.005,12.314,0.0
43,2,4,10.423648,0.1013,4.32,0.385,15.6,0.049,0.91,0.43,14.3,0.02599,6182.0,1.52,1.28,0.023,4.18,3.16,,477.052,13.005,12.314,0.0
44,2,4,22.342989,0.1684,11.27,1.005,106.0,0.334,0.363,0.022,23.8,0.06802,6182.0,1.52,1.28,0.023,4.18,3.16,,477.052,13.005,12.314,0.0
45,2,4,54.32031,0.3046,6.56,0.585,35.0,0.11,0.6,0.019,43.1,0.0396,6182.0,1.52,1.28,0.023,4.18,3.16,,477.052,13.005,12.314,0.0
46,1,2,4.2881785,0.0504,4.3,0.384,,,,0.12,13.26,,5295.0,0.82,0.93,0.12,4.54,,2.3967,252.667,,12.795,0.0
47,1,2,21.512,0.1467,,,209.8,0.6601,,0.38,,,5295.0,0.82,0.93,0.12,4.54,,2.3967,252.667,,12.795,0.0
48,1,3,0.8374907,0.01685,1.47,0.131,3.26,0.01026,5.57,0.0,,,5708.0,1.06,0.91,-0.15,,10.6,,185.506,12.258,11.043,0.0
49,1,3,45.294301,0.241,2.355,0.21,11.4,0.03587,4.78,0.13,,,5708.0,1.06,0.91,-0.15,,10.6,,185.506,12.258,11.043,0.0
64,1,2,3.4876812,0.0474,5.77,0.51,51.1,0.16,1.45,0.086,6.55,0.03401,5667.0,1.56,1.17,0.33,4.12,5.9,0.437,927.981,14.474,13.7,0.0
65,1,2,6.02976,0.0684,1.25,0.112,3.78,0.01,10.5,0.0,8.0,0.00732,5667.0,1.56,1.17,0.33,4.12,5.9,0.437,927.981,14.474,13.7,0.0
77,1,5,5.286965,0.05521,0.46,0.041,1.1,0.00346,62.0,0.1,,,4909.0,0.72,0.8,0.11,,1.1,,107.796,12.58,12.072,0.0
78,1,5,7.071392,0.06702,0.567,0.051,1.7,0.00535,52.0,0.094,,,4909.0,0.72,0.8,0.11,,1.1,,107.796,12.58,12.072,0.0
79,1,5,10.311767,0.08618,1.154,0.103,3.0,0.00944,10.7,0.092,,,4909.0,0.72,0.8,0.11,,1.1,,107.796,12.58,12.072,0.0
80,1,5,16.1456994,0.1162,2.17,0.194,4.7,0.01479,2.5,0.089,,,4909.0,0.72,0.8,0.11,,1.1,,107.796,12.58,12.072,0.0
81,1,5,27.453592,0.1656,0.861,0.077,4.3,0.01353,37.0,0.1,,,4909.0,0.72,0.8,0.11,,1.1,,107.796,12.58,12.072,0.0
92,1,2,15.9653287,0.13223,3.486,0.311,9.8,0.03083,1.28,0.093,,,6009.0,1.49,1.21,0.16,,,,494.832,12.679,11.883,0.0
93,1,2,179.60978,0.6639,5.45,0.486,38.0,0.11956,1.29,0.095,,,6009.0,1.49,1.21,0.16,,,,494.832,12.679,11.883,0.0
119,1,2,5.4122,0.066,4.81,0.429,,,,0.47,8.9,0.028,6397.0,1.58,1.28,-0.22,4.15,,0.46,459.223,13.585,12.981,0.0
120,1,2,7.1262,,1.31,0.117,4.6,0.01447,11.2,,,,5827.0,0.89,0.96,-0.19,,,,459.223,13.585,12.981,0.0
125,1,2,180.921729,0.6135,2.3,,,,,0.0,157.5,0.02485,5818.0,0.85,0.94,-0.22,4.55,,2.2584,943.444,15.827,14.932,1.0
149,1,4,3.1800218,0.04544,1.536,0.137,3.8,0.01196,5.8,0.1,,,5854.0,1.45,1.24,0.321,,4.29,,525.997,13.33,12.543,0.0
150,1,4,4.901452,0.06064,1.597,0.142,10.0,0.03146,13.5,0.08,,,5854.0,1.45,1.24,0.321,,4.29,,525.997,13.33,12.543,0.0
