,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_dist,sy_bmag,sy_vmag,label
2289,1,5,12.4417,0.0929,0.54,0.048,4.0,0.013,,,,578.0,31.4,0.0077,4925.0,0.64,0.69,-0.37,-0.678,4.68,7.0,3.8,0.4,,,300.874,15.027,13.965,0.0
2290,1,5,18.16406,0.12,1.95,0.174,14.0,0.044,,,,510.0,40.4,0.0278,4925.0,0.64,0.69,-0.37,-0.678,4.68,7.0,3.8,0.4,,,300.874,15.027,13.965,0.0
2291,1,5,122.3874,0.427,1.61,0.144,36.0,0.113,,,,270.0,144.0,0.0232,4925.0,0.64,0.69,-0.37,-0.678,4.68,7.0,3.8,0.4,,,300.874,15.027,13.965,1.0
2292,1,5,267.291,0.718,1.41,0.126,35.0,0.11,,,,208.0,243.0,0.0203,4925.0,0.64,0.69,-0.37,-0.678,4.68,7.0,3.8,0.4,,,300.874,15.027,13.965,1.0
2337,1,2,5.25449393,0.0602,1.41,,,,,0.0,213.25,975.0,7.52,0.01357,5550.0,0.95,1.05,0.46,,4.5,,0.2908,,,,890.352,16.314,15.549,0.0
2363,2,4,5.39875259,0.06135,2.357,0.21,8.03,0.02527,3.37,0.09,441.0,1275.0,,,5847.0,1.26,1.06,0.11,,,6.84,,,,,144.166,10.728,10.077,0.0
2364,2,4,9.605027,0.09008,0.979,0.087,1.3,0.00409,7.5,0.099,204.0,1052.0,,,5847.0,1.26,1.06,0.11,,,6.84,,,,,144.166,10.728,10.077,0.0
2375,1,2,13.722341,0.094,2.24,0.2,,,,0.16,,779.0,21.8,0.02207,5638.0,0.93,0.81,-0.29,-0.097,4.4,,1.37,,,-38.7,730.625,14.655,13.866,0.0
2376,1,2,242.4613,0.64,1.71,0.153,,,,0.14,,299.0,148.0,0.0168,5638.0,0.93,0.81,-0.29,-0.097,4.4,,1.37,,,-38.7,730.625,14.655,13.866,1.0
2386,1,1,4.8854892,0.06067,18.181,1.622,140.16303,0.441,0.14,,,1630.0,6.637,0.08294,5933.0,1.97,1.36,0.11,,3.98,,,,,,922.562,13.62,13.008,0.0
2419,1,2,6.49168281,0.0694,12.33,1.1,,,,,,1219.0,10.6,0.08013,5620.0,1.41,1.05,0.21,,4.16,9.5,0.529,,,,1935.04,16.639,15.782,0.0
2420,1,2,2.85188338,0.03997,1.569,0.14,,,,,,1607.0,6.1,0.01025,5620.0,1.41,1.05,0.21,,4.16,9.5,0.529,,,,1935.04,16.639,15.782,0.0
2431,1,1,7.340711,0.0781,10.76,0.96,200.22,0.63,0.88,0.0,,1078.0,15.47,0.0912,6000.0,1.12,1.18,0.42,,4.44,0.8,1.3,5.0,,19.37,1177.55,15.251,14.487,0.0
2442,1,1,8.8849116,0.0818,11.77,1.05,3209.9,10.1,11.0,0.57,,767.0,19.77,0.1212,5200.0,0.89,0.91,0.3,,4.5,6.2,1.85,3.5,,-64.18,835.356,16.237,15.414,0.0
2458,1,1,1.5449298,0.0274,15.244,1.36,638.8383,2.01,1.1,,,2140.0,4.464,0.1033,6409.0,1.32,1.2,-0.1,,4.2,,,,,,822.96,13.478,13.474,0.0
2464,1,3,4.09667624,0.0466,1.42,,,,,0.0,182.9,938.0,14.38,0.01546,4999.0,0.84,0.8,0.18,,4.49,,3.351,,,,962.459,16.883,15.965,0.0
2465,1,3,6.50327035,0.0634,1.67,,,,,0.0,98.81,804.0,19.47,0.01813,4999.0,0.84,0.8,0.18,,4.49,,3.3028,,,,962.459,16.883,15.965,0.0
2473,1,1,3.57878087,0.04501,10.761,0.96,136.661,0.43,0.603,0.0,,1440.0,9.764,0.09924,5520.0,0.99,0.95,0.2,,4.42,7.5,1.365,1.5,,-24.76,639.411,15.028,14.152,0.0
2486,2,1,0.35500745,0.00901,1.201,0.107,1.68,0.00529,5.33,0.0,4070.0,2223.0,,,5058.0,0.75,0.78,-0.18,,,,,,12.92,,124.376,12.865,11.717,0.0
2493,1,2,17.157236,0.1309,1.55,,,,,0.0,119.87,844.0,11.41,0.00956,5676.0,1.49,1.02,0.1,,4.1,,0.0955,,,,1303.72,14.343,13.392,0.0
2514,1,1,3.5224991,0.0474,15.872,1.416,187.5197,0.59,0.27,,,1680.0,6.854,0.09575,6213.0,1.49,1.21,-0.055,,4.17,,,,,,1021.87,13.804,13.598,0.0
2520,1,6,14.64558,,1.13,0.101,,,,,,418.0,45.0,0.0153,4540.0,0.68,0.83,0.04,,4.64,,,,,,369.451,16.303,15.23,0.0
2585,1,1,394.62508,1.137,8.082,0.721,298.7587,0.94,3.09,0.078,5290.0,363.0,134.0,0.04063,5950.0,1.82,1.26,0.145,0.573,4.02,4.7,0.292,,,,822.134,13.708,12.878,0.0
2604,1,2,2.42150341,0.0382,1.62,,,,,0.0,1305.04,1532.0,5.35,0.01238,6213.0,1.2,1.27,0.36,,4.39,,0.4952,,,,2022.9,16.337,15.898,0.0
2606,1,2,6.20920207,0.061,0.89,,,,,0.0,164.98,914.0,17.49,0.00919,5440.0,0.89,0.78,-0.24,,4.44,,2.6258,,,,586.137,15.583,14.635,0.0
2611,1,2,114.73635,0.481,13.49,1.204,324.2,1.02,0.729,0.036,,478.0,57.4,0.06855,5600.0,1.82,1.1,-0.17,,3.96,7.5,,4.3,,,1232.9,15.429,14.681,0.0
2612,1,2,191.2318,0.676,6.14,0.548,6.4,0.02,0.152,0.039,,403.0,80.7,0.03123,5600.0,1.82,1.1,-0.17,,3.96,7.5,,4.3,,,1232.9,15.429,14.681,0.0
2624,1,2,11.8061737,0.1216,2.87,,,,,0.0,926.72,1407.0,9.08,0.01011,6900.0,2.6,1.71,0.0,,3.84,,0.1016,,,,601.324,12.358,11.845,0.0
2642,1,2,29.5422566,0.1792,3.15,,,,,0.0,16.56,515.0,6.444,0.03589,5510.0,0.8,0.88,-0.16,,4.57,,0.0058,,,,2334.93,16.45,15.457,0.0
2648,1,3,1.592851,0.0273,1.64,0.146,,,,,,2026.0,5.54,0.0147,5777.0,1.02,1.07,0.12,,4.49,1.0,,1.9,,,628.257,14.57,13.922,0.0
2649,1,8,14.44912,,1.32,0.118,,,,,,709.0,33.8,0.00935,6015.0,1.29,1.12,0.098,,4.27,,,,,,848.254,14.604,13.883,0.0
2661,1,1,6.24658,0.0731,15.323,1.367,257.4423,0.81,0.4,,,2040.0,2.496,0.02181,4550.0,6.3,1.31,0.11,,2.95,,,,,,1294.69,14.097,12.712,0.0
2687,1,2,4.72673978,0.05343,1.478,0.132,4.66,0.01466,7.93,0.0,275.0,1133.0,,,5669.0,0.92,0.91,-0.18,,,6.6,,,,,95.9115,10.731,9.996,0.0
2710,1,2,20.99757968,0.1394,2.97,,,,,0.0,27.2,582.0,64.9,0.03036,5211.0,0.9,0.82,0.08,,4.45,,11.7201,,,,486.105,15.72,14.718,0.0
2744,1,2,5.05821338,0.0567,10.69,,,,,0.0,439.8,1168.0,11.53,0.05871,4883.0,1.67,0.95,0.56,,3.97,,1.1333,,,,426.088,16.118,14.633,0.0
2772,4,1,138.317,0.652,6.18,0.551,169.0,0.531,,0.0702,,481.0,22.1435,0.03268,6407.0,1.73,1.53,0.21,,4.14,2.0,0.293,32.6,,21.18,1033.16,14.932,13.841,0.0
2773,1,1,282.52542,0.833,9.337,0.833,87.08498,0.274,0.58,0.215,2220.0,295.0,188.9,0.0903,5734.0,0.95,0.97,0.017,-0.058,4.47,4.1,1.6,,,,343.863,13.446,12.645,1.0
