,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_dist,sy_bmag,sy_vmag,label
1366,1,1,453.54212,1.3292,9.23,,,,,0.0,5.45,390.0,164.9,0.02813,5874.0,3.01,1.52,0.12,,3.66,,0.4125,,,,659.395,14.648,13.563,0.0
1367,1,1,3.82315697,0.0511,0.77,,,,,0.0,638.38,1282.0,12.3,0.00629,6202.0,1.12,1.21,0.21,,4.42,,2.4067,,,,558.855,13.32,12.696,0.0
1368,1,1,7.32851947,0.0689,2.33,,,,,0.0,100.13,807.0,13.31,0.02445,5135.0,0.87,0.81,0.12,,4.46,,0.8313,,,,424.428,15.416,14.518,0.0
1369,1,1,1.99281234,0.0238,6.81,,,,,0.0,48.82,675.0,1.971,0.14857,3638.0,0.42,0.45,-0.14,,4.84,,0.0365,,,,,18.353,16.192,0.0
1370,1,1,3.42064689,0.0426,2.27,,,,,0.0,382.68,1129.0,6.63,0.02152,5370.0,0.97,0.88,0.14,,4.41,,0.4717,,,,,,15.223,0.0
1371,1,1,19.5489666,0.1307,1.89,,,,,0.0,26.62,579.0,50.2,0.02362,5549.0,0.73,0.78,-0.54,,4.6,,6.2798,,,,912.085,16.301,15.661,0.0
1372,1,4,2.345863,0.0318,1.23,,,,,0.0,233.38,997.0,10.85,0.01572,4769.0,0.71,0.8,0.12,,4.62,,4.3876,,,,595.683,,15.477,0.0
1373,1,4,3.64830183,0.0427,1.33,,,,,0.0,129.44,860.0,14.17,0.01701,4769.0,0.71,0.8,0.12,,4.62,,4.0426,,,,595.683,,15.477,0.0
1374,1,4,5.64491415,0.0571,2.66,,,,,0.0,72.38,744.0,17.83,0.03411,4769.0,0.71,0.8,0.12,,4.62,,3.3637,,,,595.683,,15.477,0.0
1375,1,4,8.74292005,0.0765,1.92,,,,,0.0,40.33,643.0,26.04,0.02459,4769.0,0.71,0.8,0.12,,4.62,,4.3711,,,,595.683,,15.477,0.0
1376,1,1,11.49500229,0.1038,1.53,,,,,0.0,351.79,1105.0,5.08,0.00785,6033.0,1.79,1.13,-0.1,,3.98,,0.0187,,,,513.426,12.894,12.128,0.0
1377,1,1,10.16102353,0.0918,4.62,,,,,0.0,157.97,904.0,18.52,0.03995,6032.0,1.06,1.0,-0.14,,4.39,,1.1647,,,,1252.13,12.699,14.289,0.0
1380,1,2,1.73513619,0.0286,3.27,,,,,0.0,1372.87,1554.0,6.0158,0.02796,5751.0,1.07,1.03,0.21,,4.39,,1.368,,,,392.739,13.264,11.946,0.0
1381,1,2,4.06844957,0.0504,0.98,,,,,0.0,442.08,1170.0,9.3,0.00841,5751.0,1.07,1.03,0.21,,4.39,,0.9182,,,,392.739,13.264,11.946,0.0
1382,1,2,13.26079792,0.1065,1.47,,,,,0.0,78.79,760.0,25.61,0.01276,5478.0,1.05,0.91,0.16,,4.35,,1.8071,,,,855.82,,15.048,0.0
1383,1,2,22.79020351,0.1528,2.57,,,,,0.0,38.27,634.0,35.303,0.02233,5478.0,1.05,0.91,0.16,,4.35,,1.6025,,,,855.82,,15.048,0.0
1384,1,1,15.6112238,0.1169,0.91,,,,,0.0,38.99,637.0,27.6,0.00985,5383.0,0.84,0.87,0.0,,4.53,,1.6256,,,,532.955,14.542,13.79,0.0
1385,1,1,26.6565737,0.1943,4.15,,,,,0.0,157.45,903.0,30.6,0.01241,5159.0,3.06,1.37,-0.04,,3.6,,0.7638,,,,1031.91,14.526,13.451,0.0
1386,1,1,4.61225043,0.053,0.51,,,,,0.0,268.27,1032.0,13.15,0.00485,5495.0,0.96,0.93,0.16,,4.44,,2.0228,,,,241.991,12.734,12.01,0.0
1387,1,1,73.7578875,0.3259,4.28,,,,,0.0,4.66,375.0,159.1,0.04213,5029.0,0.93,0.85,0.48,,4.43,,14.0076,,,,595.331,16.426,15.516,0.0
1388,1,2,32.376183,0.1789,2.26,,,,,0.0,5.61,392.0,28.2,0.03067,4580.0,0.68,0.75,0.08,,4.64,,0.4057,,,,440.561,14.114,15.11,0.0
1389,1,2,92.7297248,0.3608,2.81,,,,,0.0,1.38,276.0,60.8,0.03819,4580.0,0.68,0.75,0.08,,4.64,,0.4944,,,,440.561,14.114,15.11,1.0
1390,1,1,26.7575866,0.1815,2.28,,,,,0.0,44.86,660.0,32.6,0.01988,6215.0,1.05,1.11,-0.06,,4.44,,0.9186,,,,1502.34,15.222,15.454,0.0
1391,1,1,3.03267135,0.0405,0.6,,,,,0.0,468.31,1187.0,12.78,0.00593,5640.0,0.92,0.96,0.06,,4.49,,4.2915,,,,340.965,14.226,12.74,0.0
1392,1,1,8.7396758,0.0713,3.29,,,,,0.0,26.17,577.0,7.43,0.04792,4406.0,0.63,0.63,-0.24,,4.64,,0.1014,,,,701.255,18.291,16.433,0.0
1393,2,6,3.6961049,0.04565,1.773,0.158,9.7,0.03052,9.4,0.083,331.0,1187.0,,,5495.0,0.92,0.93,0.07,,,5.6,,,,,282.563,13.278,12.61,0.0
1394,2,6,10.8540774,0.0936,2.894,0.258,11.1,0.03492,2.51,0.076,78.7,828.0,,,5495.0,0.92,0.93,0.07,,,5.6,,,,,282.563,13.278,12.61,0.0
1395,2,6,77.611455,0.3474,2.606,0.232,13.4,0.04216,4.1,0.082,5.71,430.0,,,5495.0,0.92,0.93,0.07,,,5.6,,,,,282.563,13.278,12.61,0.0
1396,2,6,6.0984882,0.0637,0.821,0.073,0.76,0.00239,7.5,0.092,169.8,1004.0,,,5495.0,0.92,0.93,0.07,,,5.6,,,,,282.563,13.278,12.61,0.0
1397,2,6,19.578328,0.1387,0.952,0.085,1.4,0.0044,8.4,0.094,35.9,681.0,,,5495.0,0.92,0.93,0.07,,,5.6,,,,,282.563,13.278,12.61,0.0
1400,1,2,6.38315913,0.0562,2.73,,,,,0.0,18.73,530.0,28.55,0.04336,3757.0,0.58,0.58,0.48,,4.68,,10.8059,,,,320.588,16.781,15.642,0.0
1401,1,2,20.6180348,0.1228,1.57,,,,,0.0,3.92,359.0,48.85,0.02489,3757.0,0.58,0.58,0.48,,4.68,,5.1879,,,,320.588,16.781,15.642,0.0
1402,1,2,1.090011,0.0197,1.04,,,,,0.0,911.28,1402.0,4.84,0.01236,5081.0,0.77,0.86,0.12,,4.6,,1.8077,,,,776.55,17.631,15.981,0.0
1403,1,2,14.09258319,0.1084,1.82,,,,,0.0,30.1,597.0,21.704685,0.02168,5081.0,0.77,0.86,0.12,,4.6,,0.9739,,,,776.55,17.631,15.981,0.0
