Star,"Apparent
magnitude",Distance (ly),"Spectral
type"
Kepler-23,14,2790,G5V
Kepler-46,15.3,2795,K?V
Kepler-305,15.812,2833,K
Kepler-90,14,2840 ± 40,G0V
Kepler-150,,2906,G?V
Kepler-82,15.158,2949,G?V
Kepler-154,,2985,G3V
Kepler-56,13,3060,K?III
Kepler-350,13.8,3121,F
Kepler-603,,3134,G2V
Kepler-160,13.101,3140,G2V
Kepler-401,,3149,F8V
Kepler-58,15.3,3161,G1V
Kepler-79,13.914,3329,F
Kepler-60,13.959,3343,G
Kepler-122,,3351,F
Kepler-279,13.7,3383,F
Kepler-255,,3433,G6V
Kepler-47,15.178,3442,"G 
M"
Kepler-292,13.97,3446,K0V
Kepler-27,15.855,3500,G5V
Kepler-351,,3535,G?V
Kepler-276,15.368,3734,G?V
Kepler-24,14.925,3910,G1V
Kepler-87,15,4021,G4IV
Kepler-33,13.988,4090,G1IV
Kepler-282,15.2,4363,G?V
Kepler-758,,4413,
Kepler-53,16,4455,G?V
Kepler-30,15.403,4560,G6V
Kepler-84,14.764,4700,G3IV
Kepler-385,15.76,4900,F8V
Kepler-31,15.5,5429,F
Kepler-238,15.084,5867,G5IV
Kepler-245,,,
Kepler-218,,,
Kepler-217,,,
Kepler-192,,,
Kepler-191,,,
Kepler-176,,,
Kepler-431,,,
Kepler-338,,,
Kepler-197,,,
Kepler-247,,,
Kepler-104,,,
Kepler-126,,,
Kepler-127,,,
Kepler-130,,,
Kepler-164,,,
Kepler-171,,,
Kepler-172,,,
Kepler-149,,,
Kepler-142,,,
Kepler-124,,,
Kepler-402,,,
Kepler-399,,,
Kepler-374,,,
Kepler-372,,,
Kepler-363,,,
Kepler-359,,,
Kepler-357,,,
Kepler-354,,,
Kepler-206,,,
Kepler-203,,,
Kepler-194,,,
Kepler-184,,,
Kepler-178,,,
Kepler-336,,,
Kepler-334,,,
Kepler-332,,,
Kepler-331,,,
Kepler-327,,,
Kepler-326,,,
Kepler-325,,,
