,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,label
2859,135.291964,-75.088195,-29.443,30.294,2458647.685514,3.3789946,3.332,11150.0,8.56973,333.667,1190.0,13.5709,388.495,4809.0,4.51,0.82,0.0
2864,240.53688,-52.034811,-10.025,-10.515,2458651.449273,1.5810556,2.437,33340.0,13.941,1668.68,1780.0,13.5159,409.504,5985.0,4.72,0.76,0.0
2875,236.542661,-43.368223,-14.595,-18.508,2459359.54722,0.9714298,1.251,1650.0,8.81333,2557.87,1981.0,10.7989,492.34,6495.0,3.89,2.18,0.0
2884,12.274291,-52.046528,-7.4,-5.2,2459107.753084,2.6520851,3.56,10880.0,10.743430929724102,4144.881652659686,1461.4867675239982,10.179,216.661,6054.0,4.29,1.5313770561166058,0.0
2892,186.787304,-48.978411,1.8381499003984059,-14.920173306772908,2459310.816523,4.2180687,3.4569831,7739.9746816,9.8679012,382.7111936,1128.0738729,11.4007,403.591,5780.0,4.438,1.0,1.0
2903,298.561279,32.425717,-1.004,-23.111,2458708.663596,1.7561019,2.858,11010.0,8.43478,1012.39,1571.0,13.3911,378.906,4896.0,4.52,0.81,0.0
2904,290.079022,21.371475,-5.342,-1.476,2458707.691822,1.2997811,2.35,7140.0,13.6803,3036.53,2068.0,12.4162,535.034,6053.0,4.08,1.61,0.0
2906,357.580647,-17.077595,28.016,-3.212,2459091.364241,3.4654953,4.1612558,5884.1905569,14.2776184,1373.5324063,1552.6711273,12.0719,602.236,5570.3,3.93,1.77738,1.0
2909,293.480154,34.573742,1.8381499003984059,-14.920173306772908,2458708.891857,1.7113115,1.562,9840.0,10.743430929724102,1522.7,1740.0,11.8744,611.126,6845.2,4.308429111592632,1.5313770561166058,0.0
2922,301.078777,34.398008,-5.199,-5.857,2458731.298955,3.3418892,2.084,24860.0,13.4003,123.578,928.0,13.4979,380.532,4874.0,4.53,0.8,0.0
