,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,label
3930,270.051173,-31.608593,-2.563,-9.978,2460119.519989,4.90826,4.324,8881.0,15.7889,4791.11,2317.0,9.944,359.619,7995.0,4.2,1.83,
3931,252.03108,-56.686774,-7.245,-15.389,2460123.887716,1.3875331,2.679,952.0,3.16086,13423.0,2998.0,10.4425,182.238,5678.0,4.33,1.14,0.0
3932,268.24441,-48.563082,-56.272,-172.215,2459383.797001,17.7424733,3.082,880.0,2.00179,12.8216,527.0,9.8496,67.266,4926.2,4.67,0.69,
3933,264.841449,-35.391821,2.115,-19.12,2459385.73448,5.412802,4.168,3860.0,9.28727,673.425,1419.0,9.3777,175.367,6468.0,4.22,1.47,
3934,294.865467,46.285813,-2.343,-1.073,2459422.126663,3.905126,2.9136919,23549.9259888,14.5499431,300.1569738,1061.5900983,14.5787,914.699,5381.0,4.45342,0.947475,1.0
3935,135.049261,72.147747,37.526,-19.985,2459940.464211,4.6182631,2.7008637,20287.618268,13.3976162,204.8121523,964.8475089,11.3427,198.251,5328.0,4.50337,0.889218,
3936,294.513246,45.981645,3.037,2.999,2459770.501306,1.8555745,2.3121742,10888.0377261,14.8951809,2077.5291591,1721.8944712,13.9174,1093.08,5651.75,4.13988,1.40959,1.0
3937,225.589638,70.949594,4.614,-16.482,2459939.613796,3.4505658,3.0397698,15044.6453237,12.8140087,432.6350726,1163.188716,12.7714,461.898,5402.0,4.37462,1.04301,
3938,71.824435,-17.115174,7.532,-1.95,2459174.840517,3.3106692,3.7033867,9189.7342523,13.382013,1061.5542425,1455.8120076,12.0682,516.543,6030.0,4.22,1.3514301,1.0
3939,286.680147,78.579143,6.71,26.91,2459884.031242,6.6363577,6.385,7470.0,12.2701,543.643,1345.0,12.8668,665.068,5490.0,4.09312,1.46,
3940,288.581493,41.089734,-2.956,-20.95,2459422.843797,4.8854844,5.2333985,7009.1394983,18.1759557,1459.3547301,1576.376555,12.4532,922.562,5974.0,3.84282,2.0812199,1.0
3941,271.308219,47.911223,8.539,-18.755,2459771.229475,3.0413391,1.5149962,27645.4859583,25.3471107,201.6318379,961.0799713,12.5386,209.435,4034.0,4.21431,1.02777,
3942,287.57055,43.531709,-8.984,-9.457,2459797.231728,0.9023951,1.6045865,5385.0871091,,2991.0733649,1886.1512508,14.2502,833.364,5780.0,4.438,,0.0
3943,292.855719,46.391188,-2.007,3.755,2459392.813554,2.6843081,2.7683352,18209.9206621,13.9748499,651.2557496,1288.4205473,13.814,758.753,5616.02,4.4174,1.01895,1.0
3944,290.581743,40.577311,1.317,-15.867,2459420.667731,3.5256535,2.5111799,23882.7029386,12.1210086,189.762184,946.6123519,14.6147,686.284,5003.05,4.56877,0.783768,1.0
