,hostname,st_spectype,st_teff,st_rad,st_lum,sy_dist,sy_bmag,sy_vmag
1176,GJ 3988,M4.5 V,3273.0,0.2,-2.395,9.9105,15.348,13.627
1179,GJ 3998,M1,3722.0,0.49,-1.387,18.1459,12.351,10.844
1188,GJ 411,M2.0V,3611.0,0.4,-1.699,5.675773,8.915,7.49
1212,GJ 414 A,K8V,4085.0,0.72,-0.886,11.8893,9.69,8.31
1217,GJ 414 B,M2 V,3663.0,0.55,-1.319,11.8728,12.457,10.82
1234,GJ 4276,M4.0,3387.0,0.41,-1.706,21.3362,14.391,12.903
1244,GJ 433,M2V,3618.0,0.47,-1.523,9.06456,11.2,9.81
1248,GJ 436,M3,3431.0,0.47,-1.523,9.75321,12.058,10.67
1272,GJ 463,M4,3469.0,0.51,-1.523,18.3554,12.924,11.595
1281,GJ 486,M4,3267.0,0.37,-2.0,8.07426,2.615,11.39
1293,GJ 504,G0Vs,6234.0,1.26,0.36,17.5299,5.768,5.18799
1324,GJ 514,M1V,3707.0,0.51,-1.398,7.61778,10.542,9.05
1332,GJ 536,K5/M0V,3700.0,0.45,-1.398,10.4092,11.168,9.71
1341,GJ 581,M3.0V,3375.0,0.34,-2.0,6.2981,11.761,10.57
1352,GJ 625,M2,3499.0,0.31,-1.894,6.47249,11.784,10.066
1362,GJ 649,M2,3675.0,0.53,-1.301,10.3796,11.164,9.7
1382,HIP 84709,M1.5V,4810.0,0.52,-0.886,6.97107,7.255,5.91
1392,GJ 674,M2.5V,3461.0,0.36,-1.699,4.54896,10.921,9.38
1396,GJ 676 A,M0,3851.0,0.73,-0.959,16.0272,10.977,9.58
1406,GJ 682,M4.0,3172.0,0.34,-2.0,5.00671,1.931,10.94
1409,GJ 685,M0.5,3816.0,0.54,-1.253,14.3155,11.401,9.98
1417,GJ 687,M3 V,3413.0,0.42,-1.672,4.54939,10.617,9.15
1430,GJ 720 A,M2,3849.0,0.61,-1.155,15.5575,11.163,9.84
1435,GJ 724,M,3671.0,0.55,-1.301,16.9658,12.093,10.638
1441,GJ 740,M1.0 V,3913.0,0.56,-1.206,11.1017,10.616,9.22
1449,GJ 806,M3,3584.0,0.43,-1.523,12.0445,12.495,10.79
1464,GJ 832,M1.5V,3601.0,0.45,-1.523,4.96435,10.34,8.66
1469,GJ 849,M3,3343.0,0.55,-1.523,8.80058,11.582,10.41
1494,GJ 86,K1V,5151.0,0.8,-0.377,10.7836,6.945,6.12
1501,GJ 876,M2.5V,3227.0,0.4,-1.699,4.67517,11.73,10.16
1534,GJ 9404,M2V,3811.0,0.73,-1.0,23.8839,12.037,10.62
1539,GJ 96,M2,3799.0,0.61,-1.155,11.9315,10.821,9.4
1545,GJ 9689,M0V:,3845.0,0.54,-1.222,30.6203,12.728,11.297
1561,GPX-1,F2,7000.0,1.56,0.727,655.013,12.74,12.316
1582,Gl 378,M1,3879.0,0.56,-1.222,14.9545,11.366,10.03
1588,Gl 49,M1.5 V,3805.0,0.51,-1.306,9.8528,11.018,9.56
1596,Gl 686,M1.0 V,3654.0,0.43,-1.523,8.15728,11.01,9.62
1608,Gliese 12,M4 V,3253.0,0.27,-2.131,12.21,14.265,12.6
1638,HAT-P-11,K4,4780.0,0.75,-0.585,37.7647,10.556,9.46
1648,HAT-P-12,K4,4650.0,0.7,-0.678,142.751,13.851,12.665
1668,HAT-P-13,G4,5653.0,1.56,0.346,246.81,11.147,10.421
1671,HAT-P-14,F5 V,6583.0,1.53,0.592,222.663,10.412,9.988
1684,HAT-P-15,G5,5568.0,1.08,0.0,192.516,13.022,12.41
1693,HAT-P-16,F8,6158.0,1.24,0.294,226.637,11.38,10.911
1706,HAT-P-17,K,5246.0,0.84,-0.319,92.3831,11.331,10.375
1713,HAT-P-18,K2,4803.0,0.75,-0.569,161.4,13.662,12.597
1720,HAT-P-19,K1,4990.0,0.82,-0.432,202.078,13.834,12.826
1727,HAT-P-2,F8,6380.0,1.39,0.53,127.774,9.15,8.72
1743,HAT-P-20,K3,4595.0,0.69,-0.721,71.0374,12.539,11.231
1751,HAT-P-21,G3,5588.0,1.1,0.025,277.278,12.56,11.459
1759,HAT-P-22,G5,5302.0,1.04,-0.114,81.7647,10.618,9.763
1778,HAT-P-23,G0,5905.0,1.2,0.199,364.813,13.051,11.937
1784,HAT-P-24,F8,6373.0,1.32,0.408,415.344,12.208,11.762
1793,HAT-P-25,G5,5500.0,0.96,-0.125,300.384,14.094,13.146
1798,HAT-P-26,K1,5079.0,0.79,-0.42,141.837,12.326,11.757
1805,HAT-P-27,G8,5300.0,0.9,-0.244,199.173,13.046,12.052
1813,HAT-P-28,G3,5680.0,1.1,0.053,401.319,13.825,13.098
1817,HAT-P-29,F8,6087.0,1.22,0.265,313.576,12.301,11.825
1825,HAT-P-3,K,5185.0,0.82,-0.355,134.554,12.526,11.856
1928,HAT-P-4,G1 V,5860.0,1.59,0.428,320.451,11.831,11.118
1980,HAT-P-49,F,6820.0,1.83,0.814,350.351,10.625,10.205
1984,HAT-P-5,G,5960.0,1.17,0.187,303.336,12.923,11.954
2047,HAT-P-57,A8 V,7500.0,1.5,0.806,279.86,10.961,10.639
2085,HAT-P-65,G2,5835.0,1.86,0.555,738.519,13.818,13.121
2089,HAT-P-66,G0,6002.0,1.88,0.615,935.456,13.552,13.014
2099,HAT-P-68,K,4508.0,0.67,-0.779,202.152,15.317,13.802
2162,HATS-11,G0,6060.0,1.44,0.403,944.603,14.657,14.06
2171,HATS-12,F,6408.0,2.21,0.863,746.138,13.258,12.831
2185,HATS-15,G9 V,5311.0,0.92,-0.204,1139.55,15.814,14.909
2188,HATS-16,G3 V,5738.0,1.24,0.173,757.044,14.395,13.957
2192,HATS-17,G V,5846.0,1.09,0.093,400.331,13.105,12.402
2196,HATS-18,G V,5600.0,1.02,-0.032,624.368,14.83,14.188
2204,HATS-2,K,5227.0,0.9,-0.268,341.925,14.53,13.565
2209,HATS-22,K V,4803.0,0.69,-0.646,229.518,14.493,13.397
2214,HATS-23,G V,5780.0,1.2,0.155,639.004,14.596,13.84
2217,HATS-24,F V,6346.0,1.17,0.292,494.182,13.393,12.915
2221,HATS-25,G,5715.0,1.11,0.068,471.158,13.812,13.172
2226,HATS-26,F,6071.0,2.04,0.704,861.843,13.553,13.006
2232,HATS-27,F,6438.0,1.74,0.669,816.988,13.239,12.782
2235,HATS-28,G,5498.0,0.92,-0.157,535.383,14.706,13.981
2240,HATS-29,G,5670.0,1.07,0.029,353.891,13.354,12.62
2245,HATS-3,F,6351.0,1.4,0.456,411.211,12.45,12.433
2252,HATS-30,G,5943.0,1.06,0.097,342.14,12.795,12.283
2275,HATS-36,G0 V,6149.0,1.16,0.215,856.436,15.06,14.364
2294,HATS-4,G,5403.0,0.93,-0.187,416.459,14.293,13.516
2338,HATS-5,G,5304.0,0.87,-0.268,246.384,13.439,12.598
2360,HATS-54,G6 V,5621.0,1.23,0.115,748.585,14.729,13.937
2428,HATS-7,K2,4985.0,0.81,-0.434,240.707,14.359,13.347
2438,HATS-71,M3 V,3405.0,0.48,-1.56,140.225,17.217,16.437
2479,HD 100655,G9 III,4861.0,9.3,1.633,137.178,7.469,6.4421
2507,HD 101930,K1V,5157.0,0.85,-0.337,30.0274,9.144,8.21
2535,HD 102195,G8 V,5330.0,0.83,-0.334,29.3386,8.821,8.07
2554,HD 102365,G3/5V,5630.0,0.96,-0.066,9.2894,5.549,4.89
2599,HD 103891,F9,6072.0,2.22,0.786,55.5213,7.128,6.59451
2603,HD 103949,K3V,4848.0,0.72,-0.585,26.4997,9.658,8.7
2615,HD 104067,K2V,4956.0,0.77,-0.469,20.3632,8.9,7.92
2631,HD 10442,K0 IV,4912.0,1.97,0.31,135.374,8.8,7.828
2634,HD 104985,G9 III,4877.0,11.0,1.778,100.576,6.824,5.79389
2642,HD 105779,G2,5792.0,0.94,-0.108,55.2411,9.268,8.65
2676,HD 106315,F5 V,6290.0,1.18,0.29,109.353,9.4,8.951
2682,HD 10647,F8V,6105.0,1.14,0.215,17.3357,6.053,5.52
2706,HD 106515 A,G5,5362.0,1.62,0.09,34.0915,8.793,7.971
2823,HD 109749,G3 V,5824.0,1.22,0.19,63.0821,8.865,8.08
2834,HD 10975,K0 III,4840.0,11.16,1.79,116.506,6.921,5.94188
2858,HD 110082,F8 V,6200.0,1.19,0.281,105.096,9.755,9.23
2875,HD 111232,G8V,5502.0,0.95,-0.131,28.9571,8.305,7.59
2904,HD 112300,M1 III,3657.0,65.8,2.701,62.07324,4.903,3.39515
2906,HD 112570,K0 III,4750.0,9.85,1.647,101.166,7.134,6.11055
2907,HD 112640,K0 III,4155.0,39.0,2.453,323.335,7.957,6.53649
2922,HD 113538,K5/M0V,4060.0,0.71,-0.921,16.2817,10.451,9.05
2936,HD 114082,F3 V,6651.0,1.49,0.583,95.3906,8.636,8.2
2950,HD 114386,K3V,4820.0,0.74,-0.495,27.9243,9.797,8.73
2955,HD 114613,G3V,5782.0,2.01,0.651,20.2836,5.538,4.85
2989,HD 114783,K1V,5135.0,0.81,-0.377,21.0628,8.436,7.56
3016,HD 11506,G0 V,6058.0,1.38,0.36,51.261,8.107,7.51
3111,HD 120084,G7 III,4892.0,9.12,1.64,103.044,6.917,5.90686
3150,HD 125595,K3/4V,4693.0,0.76,-0.602,28.1989,10.197,9.03
3164,HD 125612,G3 V,5841.0,1.05,0.06,57.6207,8.93,8.31
3229,HD 128311,K0,4965.0,0.76,-0.495,16.3292,8.422,7.48
3313,HD 134060,G2V,5914.0,1.17,0.201,24.0125,6.907,6.29
3317,HD 134606,G5IV,5648.0,1.12,0.072,26.7909,7.608,6.86
3333,HD 134987,G5V,5750.0,1.22,0.212,26.1804,7.169,6.47
3351,HD 136352,G3/5V,5672.0,1.04,0.037,14.682,6.282,5.65
3394,HD 13808,K2V,5034.0,0.82,-0.409,28.2305,9.232,8.36
3400,HD 13908,F8 V,6255.0,1.67,0.602,79.5515,8.042,7.52
3434,HD 14067,G9 III,4815.0,12.4,1.898,142.024,7.575,6.53329
3455,HD 141004,G0Vvar,5936.0,1.34,0.346,11.8148,5.01,4.4154
3469,HD 141399,K0 V,5360.0,1.46,0.201,37.0169,7.952,7.20856
3499,HD 142,F7V,6249.0,1.4,0.477,26.1853,6.201,5.7
3556,HD 143361,G6 V,5505.0,0.99,-0.092,68.5146,10.026,9.2
3590,HD 1461,G3 V,5386.0,1.24,0.075,23.4534,7.146,6.47933
3609,HD 147379,M0.0 V,4090.0,0.57,-1.097,10.7643,9.946,8.61
3619,HIP 79762,M3,3419.0,0.5,-1.523,10.7612,12.076,10.615
3639,HD 147513,G3/5V,5930.0,0.98,0.013,12.9032,6.0,5.37
3647,HD 147873,G1 V,5972.0,2.29,0.777,109.055,8.557,7.96
3666,HD 148164,F8,6032.0,1.34,0.33,77.1971,8.688,8.23
3680,HD 149026,G0,6084.0,1.5,0.44,75.8643,8.753,8.15
3703,HD 149143,G0,5856.0,1.44,0.35,73.2801,8.482,7.89
3704,HD 150010,K2 III,4153.0,16.2,1.982,144.49,7.646,6.2893
3717,HD 150706,G0,5903.0,1.01,0.045,28.2697,7.635,7.03
3730,HD 152079,G6 V,5726.0,1.15,0.107,87.8888,9.909,9.18
3770,HD 154088,K1V,5409.0,0.95,-0.143,18.2692,7.411,6.59
3782,HD 154345,G8V,5468.0,0.86,-0.187,18.284,7.487,6.76
3793,HD 154391,K1 III,4909.0,8.56,1.581,100.947,7.165,6.1552
3800,HD 154672,G3 IV,5655.0,1.44,0.281,63.0484,8.905,8.21
3838,HD 156411,F8 IV/V,5900.0,2.16,0.731,56.8655,7.274,6.67
3844,HD 156668,K2,4813.0,0.8,-0.509,24.3323,9.317,8.43
3870,HD 158259,G0,5834.0,1.29,0.243,27.0498,7.073,6.47915
3873,HD 158996,K5 III,4069.0,50.3,3.015,283.659,7.219,5.72291
3878,HD 15906,K V,4757.0,0.76,-0.569,45.5621,10.729,9.78
3880,HD 159243,G0 V,6123.0,1.12,0.114,73.3055,9.191,8.65
3896,HD 1605,K1 IV,4757.0,3.8,0.82,88.8047,8.546,7.52
3912,HD 160691,G3IV/V,5784.0,1.33,0.303,15.5981,5.808,5.12
3924,HD 161178,G9 III,4786.0,10.95,1.751,107.188,6.886,5.88375
3968,HD 162020,K2V:,4702.0,0.76,-0.602,30.8248,10.105,9.1
3972,HD 163607,G5,5522.0,1.76,0.42,67.7855,8.762,8.0
3987,HD 16417,G1V,5817.0,1.63,0.465,25.3936,6.423,5.78
3994,HD 164509,G5 V,5922.0,1.06,0.061,53.1119,8.699,8.1
4009,HD 164595,G2V,5745.0,1.04,0.037,28.254,7.775,7.08597
4022,HD 164922,K0V,5385.0,0.94,-0.119,22.0016,7.81,7.01227
4041,HD 165155,G8 V,5426.0,0.95,-0.155,63.3574,10.197,9.36
4048,HD 1666,F7 V,6317.0,1.93,0.73,117.908,8.649,8.17
4063,HD 167042,K1 IV,4943.0,4.5,1.0,49.6633,6.926,5.98796
4074,HD 167768,G8 III,4851.0,9.7,1.669,107.214,6.886,5.98894
4086,HD 168009,G2V,5767.0,1.17,0.149,23.3032,6.93,6.295
4127,HD 1690,K1 III,4393.0,16.7,1.52,752.615,10.492,9.19
4164,HD 170469,G5 IV,5810.0,1.22,0.204,60.178,8.833,8.21
4188,HD 171238,G8 V,5440.0,1.01,-0.09,44.8113,9.41,8.61
4199,HD 17156,G5,5969.0,1.47,0.39,78.0863,8.78,8.17
4208,HD 173416,G8,4683.0,13.5,1.892,132.184,7.094,6.04188
4213,HD 174205,K2,4308.0,26.6,2.378,234.027,7.512,6.28209
4234,HD 175541,G8 IV,5060.0,3.8,0.934,129.603,8.835,8.020001
4254,HD 176986,K2.5 V,4931.0,0.78,-0.48,27.7843,9.316,8.42
4265,HD 177565,G8V,5648.0,0.99,-0.027,16.9179,6.856,6.15
4303,HD 179079,G5 IV,5684.0,1.6,0.382,69.7116,8.597,7.95
4328,HD 179949,F8V,6168.0,1.22,0.322,27.4573,6.772,6.25
4349,HD 180617,M2.5V,3496.0,0.5,-1.523,5.91059,10.576,9.12
4385,HD 181342,K0 III,5040.0,5.12,1.176,120.391,8.566,7.55
4394,HD 181433,K2IV/V,4900.0,0.83,-0.444,26.8762,9.42,8.4
4413,HD 181720,G1 V,5781.0,1.39,0.288,60.2046,8.391,7.84
4436,HD 184010,K0 III-IV,4971.0,4.86,1.117,60.7993,6.809,5.88639
4439,HD 18438,M2.5 III,3860.0,88.47,2.968,224.146,7.144,5.50474
4458,HD 18599,K2 V,5145.0,0.77,-0.429,38.5653,9.872,8.99
4515,HD 189567,G3V,5713.0,1.04,0.025,17.9055,6.707,6.074
4540,HD 189733,G5,4939.0,0.8,-0.469,19.7638,8.607,7.67
4551,HD 190007,K3/4V,4604.0,0.73,-0.638,12.7141,8.542,7.46
4583,HD 190360,G6IV+...,5552.0,1.15,0.079,16.0069,6.472,5.738
4629,HD 190984,F8 V,5988.0,1.53,0.43,148.187,9.315,8.76
4640,HD 191939,G9 V,5348.0,0.94,-0.187,53.6089,9.72,8.97
4648,HD 192263,K1/2V,4975.0,0.77,-0.495,19.6359,8.725,7.79
4681,HD 192310,K3V,5080.0,0.81,-0.377,8.79687,6.629,5.73
4693,HD 192699,G8 IV,5220.0,3.9,1.009,71.8627,7.314,6.45591
4745,HD 196067,G1 V,6017.0,1.73,0.572,39.9346,7.058,6.51
4747,HD 19615,K0,4263.0,32.3,2.515,265.155,8.028,6.55594
4783,HD 19994,G0V,6188.0,1.75,0.626,22.5242,5.632,5.06345
4823,HD 202696,K0 III-IV,5040.0,6.43,1.369,188.546,8.927,8.23
4874,HD 204941,K1/2V,5126.0,0.71,-0.495,28.7165,9.253,8.45
4907,HD 207496,K3/4V,4958.0,0.88,-0.367,23.606,9.167,8.23
4941,HD 207832,G5 V,5726.0,0.89,-0.11,58.9291,9.474,8.78
4950,HD 207897,K0,5132.0,0.76,-0.444,28.2938,9.264,8.37
4954,HD 20794,G8.0V,5401.0,0.92,-0.161,6.00278,4.966,4.26
4997,HD 20868,K3/4 IV,4795.0,0.79,-0.529,47.7223,10.935,9.92
5006,HD 208897,K0,4860.0,4.98,1.09,67.4872,7.523,6.50821
5025,HD 209458,G0 V,6071.0,1.2,0.248,48.3016,8.168,7.65
5052,HD 210277,G8/K0V,5555.0,1.06,0.029,21.2985,7.296,6.54348
5069,HD 210702,K1 IV,4912.0,4.54,1.035,54.1963,6.895,5.93022
5084,HD 211810,G5,5652.0,1.13,0.07,64.6353,9.309,8.59
5092,HD 211970,M0V,4106.0,0.59,-1.046,13.1277,10.402,10.24
5137,HD 213885,G,5978.0,1.1,0.139,48.0883,8.495,7.95
5149,HD 21411,G8V,5452.0,0.85,-0.244,29.1328,8.642,7.88
5157,HD 214823,G0,5933.0,2.04,0.67,101.368,8.629,8.06
5170,HD 215152,K3V,4823.0,0.79,-0.523,21.5974,9.094,8.11
5197,HD 216437,G2/3IV,5849.0,1.48,0.387,26.6902,6.71,6.04
5220,HD 216520,K2,5144.0,0.79,-0.398,19.552,8.408,7.53
5222,HD 216536,K0,4639.0,12.5,1.8,376.233,10.418,9.229
5268,HD 217107,G8IV/V,5704.0,1.08,0.093,20.0619,6.895,6.155
5276,HD 217786,F8 V,5966.0,1.27,0.276,55.4847,8.285,7.78
5289,HD 218566,K3V,4927.0,0.79,-0.469,28.8274,9.61,8.6
5299,HD 219077,G8 V,5362.0,1.91,0.425,29.1864,6.901,6.12
5319,HD 219134,K3 V,4699.0,0.78,-0.577,6.53127,6.585,5.56911
5329,HD 219139,G5 III,4831.0,11.22,1.795,104.935,6.852,5.84863
5333,HD 219415,K0 III,4820.0,2.9,0.62,165.184,9.903,8.909
5342,HD 219828,G0 IV,5891.0,1.69,0.489,73.114,8.66,8.04
5361,HD 220689,G3 V,5921.0,1.07,0.093,46.8778,8.356,7.74
5397,HD 221420,G2 IV-V,5847.0,1.95,0.603,31.1415,6.489,5.82
5418,HD 222076,K0 III,4806.0,4.1,0.929,91.1538,8.523,7.47
5451,HD 224538,F9 IV/V,6097.0,1.54,0.47,79.0608,8.649,8.06
5459,HD 224693,G2 V,5894.0,1.93,0.61,93.5015,8.851,8.23
5469,HD 22496,K5/M0V,4172.0,0.68,-0.886,13.5956,10.062,8.57
5471,HD 22532,G8 III/IV,5038.0,5.69,1.274,161.183,8.728,7.85
5509,HD 231701,F8 V,6101.0,1.53,0.47,108.877,9.487001,8.97
5519,HD 233604,K5,4791.0,10.9,1.75,847.058,11.332,10.291
5536,HD 23472,K4 V,4684.0,0.71,-0.625,39.0341,10.694,9.73
5541,HD 235088,K2 V,5037.0,0.79,-0.443,41.1706,10.129,9.19
5558,HD 238090,M0.0 V,3933.0,0.57,-1.154,15.2354,11.103,9.71
5574,HD 240237,K2 III,4361.0,32.0,2.49,933.377,9.933,8.19
5616,HD 25171,F8 V,6160.0,1.18,0.276,55.6146,8.28,7.77
5620,HD 25723,K1 III,4766.0,13.76,1.944,114.816,6.69,5.60075
5623,HD 260655,M1:,3843.0,0.43,-1.398,10.0055,11.041,9.63
5697,HD 27442,K1/2III,4846.0,3.43,0.838,18.2704,5.518,4.44
5708,HD 27631,G3 IV-V,5737.0,1.0,-0.056,50.2862,8.915,8.26
5758,HD 28254,G1 IV/V,5664.0,1.48,0.34,55.2884,8.44,7.69
5765,HD 285968,M2,3679.0,0.45,-1.472,9.47045,11.401,9.95
5797,HD 290327,G8 V,5552.0,1.0,-0.14,56.433,9.658,8.99
5799,HD 29399,K1 III,4845.0,4.5,1.002,44.1518,6.823,5.79
5802,HD 2952,K0 III,4844.0,12.02,1.85,110.103,6.96,5.9258
5827,HD 30562,G5V,5937.0,1.58,0.489,26.1597,6.395,5.77466
5927,HD 33142,K0 III,5025.4,4.17,1.0,121.375,8.863,7.96
5937,HD 332231,F8,6089.0,1.28,0.305,80.6665,9.114,8.558
5947,HD 33283,G3/G5 V,5935.0,1.97,0.64,89.8623,8.675,8.05
5956,HD 33564,F7 V,6420.0,1.44,0.502,20.9531,5.563,5.10111
5962,HD 33844,K0 III,4861.0,5.29,1.149,105.779,8.332,7.29
5973,HD 34445,G0 V,5836.0,1.38,0.303,46.0907,7.969,7.31
5984,HD 360,G8 III,4770.0,10.86,1.742,111.542,7.022,5.986
5986,HD 36384,M0 III,3940.0,38.4,2.589,209.309,7.763,6.18839
6005,HD 3651,K0V,5221.0,0.88,-0.268,11.1336,6.744,5.88437
6041,HD 37605,K0 V,5448.0,0.9,-0.229,46.7864,9.432,8.67
6055,HD 3765,K2V,5032.0,0.79,-0.432,17.926,8.315,7.36
6096,HD 38801,K0,5207.0,2.41,0.58,91.4349,9.104,8.26
6102,HD 39091,G0 V,6037.0,1.1,0.16,18.2702,6.252,5.65
6130,HD 39194,G8V,5326.0,0.74,-0.398,26.4131,8.842,8.09
6138,HD 39855,G6V,5510.0,0.79,-0.284,23.2599,8.152,7.51
6146,HD 40307,K3V,4827.0,0.72,-0.569,12.9363,8.109,7.17
6242,HD 42618,G4 V,5727.0,1.0,-0.009,24.3358,7.503,6.87
6256,HD 4308,G5V,5695.0,1.02,0.029,22.0158,7.2,6.55
6275,HD 43197,G8 V,5508.0,1.0,-0.137,62.4112,9.708,8.98
6284,HD 43691,G0,6093.0,1.6,0.5,85.6009,8.592,8.03
6291,HD 44219,G2 V,5752.0,1.32,0.26,52.9051,8.309,7.69
6299,HD 45184,G2V,5810.0,1.08,0.083,21.9532,7.003,6.383
6327,HD 45364,K0 V,5466.0,0.89,-0.196,34.354,8.78,8.08
6335,HD 45652,G8/K0,5294.0,0.94,-0.2,34.8541,8.962,8.1
6371,HD 4732,K0 IV,4959.0,5.4,1.19,54.7841,6.852,5.9
6382,HD 47366,K1 III,4866.0,7.3,1.417,84.3552,7.095,6.11151
6403,HD 48265,G5 IV/V,5650.0,2.05,0.584,90.5446,8.782,8.05
6464,HD 50554,F8,6012.0,1.11,0.158,31.1664,7.412,6.8561
6486,HD 52265,G0V,6076.0,1.28,0.352,29.9803,6.845,6.29351
6496,HD 5278,F V,6203.0,1.19,0.28,57.5846,8.459,7.94
6500,HD 5319,K3 IV,4958.0,3.85,0.908,121.405,9.023,8.05
