,Star,Apparent,Distance,Spectral
195,Kepler-279,13.7,3383,F
197,Kepler-47,15.178,3442,"G 
M"
198,Kepler-292,13.97,3446,K0V
199,Kepler-27,15.855,3500,G5V
201,Kepler-276,15.368,3734,G?V
202,Kepler-24,14.925,3910,G1V
203,Kepler-87,15,4021,G4IV
204,Kepler-33,13.988,4090,G1IV
205,Kepler-282,15.2,4363,G?V
207,Kepler-53,16,4455,G?V
208,Kepler-30,15.403,4560,G6V
209,Kepler-84,14.764,4700,G3IV
210,Kepler-385,15.76,4900,F8V
211,Kepler-31,15.5,5429,F
212,Kepler-238,15.084,5867,G5IV
