pl_name,pl_type
Kepler-37 b,Terrestrial
Kepler-42 b,Terrestrial
Kepler-42 c,Terrestrial
Kepler-42 d,Terrestrial
Kepler-11 b,Terrestrial
Kepler-32 f,Terrestrial
Kepler-33 c,Terrestrial
Kepler-138 b,Terrestrial
Kepler-141 b,Terrestrial
Kepler-106 d,Terrestrial
Kepler-119 c,Terrestrial
KOI-55 b,Terrestrial
KOI-55 c,Terrestrial
Kepler-197 e,Terrestrial
Kepler-345 b,Terrestrial
Kepler-20 e,Terrestrial
Kepler-62 c,Terrestrial
TOI-406 c,Super+Earth
TOI-2211.01,Super+Earth
TOI-2458 b,Super+Earth
TOI-1782.02,Super+Earth
TOI-6002 b,Super+Earth
TOI-5713 b,Super+Earth
KMT-2023-BLG-1866L b,Super+Earth
TOI-286 c,Super+Earth
"Debug: VIP-CLI v3.7.1, Node v18.20.1, linux 5.15.153.1-microsoft-standard-WSL2 x64",Super+Earth
TOI-1408 c,Super+Earth
TOI-1798.02,Super+Earth
HD 6061 b,Super+Earth
TOI-757 b,Super+Earth
HD 25463 c,Super+Earth
HIP 8152 c,Super+Earth
TOI-1824 b,Super+Earth
TOI-1799 b,Super+Earth
TOI-1776 b,Super+Earth
TOI-1753 b,Super+Earth
TOI-1669 c,Super+Earth
TOI-1451 b,Super+Earth
TOI-1443 b,Super+Earth
TOI-1437 b,Super+Earth
TOI-1279 b,Super+Earth
TOI-260 b,Super+Earth
TOI-1742 b,Super+Earth
HD 48948 b,Super+Earth
TOI-669 b,Super+Earth
TOI-663 d,Super+Earth
TIC 365102760 b,Super+Earth
TOI-2120 b,Super+Earth
TOI-782 b,Super+Earth
TOI-1448 b,Super+Earth
"Debug: VIP-CLI v3.7.1, Node v18.20.1, linux 5.15.153.1-microsoft-standard-WSL2 x64",Super+Earth
TOI-4443.01,Super+Earth
TOI-406.01,Super+Earth
TOI-1450 A c,Super+Earth
TOI-1450 A b,Super+Earth
TOI-6086 b,Super+Earth
TOI-6008 b,Super+Earth
TOI-5720 b,Super+Earth
Gliese 12 b,Super+Earth
TOI-4559 b,Super+Earth
TOI-1739 b,Super+Earth
TOI-871 b,Super+Earth
TOI-1467 b,Super+Earth
TOI-771 b,Super+Earth
TOI-2068 b,Super+Earth
